client_name,client_rut,period,total_reports,used_parts_count,matched_used_parts_count,placeholder_used_parts_count,unmatched_used_parts_count,ambiguous_used_parts_count
ACME,,2018-08,1,0,0,0,0,0
ACME,,2018-10,1,1,0,1,0,0
ACME,,2019-01,4,0,0,0,0,0
ACME,,2019-05,2,1,0,1,0,0
ACME,,2019-06,2,0,0,0,0,0
ACME,,2019-08,2,0,0,0,0,0
ACME,,2019-09,1,0,0,0,0,0
ACME,,2019-12,2,1,0,0,1,0
ACME,,2020-02,1,0,0,0,0,0
ACME,,2020-03,1,0,0,0,0,0
ACME,,2020-05,1,0,0,0,0,0
ACME,,2020-06,1,0,0,0,0,0
ACME,,2020-10,2,0,0,0,0,0
ACME,,2021-06,5,3,0,1,2,0
ACME,,2021-07,5,0,0,0,0,0
ACME,,2022-02,1,1,0,0,1,0
ACME,,2022-08,5,0,0,0,0,0
ACME,61.606.500-9,2022-11,3,0,0,0,0,0
ACME,61.606.500-9,2023-02,1,0,0,0,0,0
ACME,61.606.500-9,2023-03,5,0,0,0,0,0
ACME,61.606.500-9,2023-11,3,3,0,0,3,0
ACME,61.606.500-9,2023-12,1,1,0,0,1,0
ACME,61.606.500-9,2024-02,9,4,2,1,1,0
ACME,61.606.500-9,2024-03,2,0,0,0,0,0
ACME,61.606.500-9,2024-04,2,1,0,0,1,0
ACME,61.606.500-9,2024-05,1,1,0,0,1,0
ACME,61.606.500-9,2024-07,1,0,0,0,0,0
ACME,,2024-11,1,0,0,0,0,0
ACME,61.606.500-9,2026-01,1,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2018-08,2,1,0,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2018-09,9,4,1,3,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2018-10,4,4,1,3,0,0
CLINICA ALEMANA DE SANTIAGO,,2018-11,3,1,0,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2018-12,2,2,0,2,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2019-01,3,2,1,0,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2019-02,5,4,2,2,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2019-03,3,1,1,0,0,0
CLINICA ALEMANA DE SANTIAGO,,2019-04,3,2,1,0,1,0
CLINICA ALEMANA DE SANTIAGO,,2019-05,3,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2019-06,2,1,1,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2019-07,6,3,1,2,0,0
CLINICA ALEMANA DE SANTIAGO,,2019-08,6,4,1,3,0,0
CLINICA ALEMANA DE SANTIAGO,,2019-09,2,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,,2019-10,3,3,0,2,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2019-11,5,2,0,1,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2019-12,9,3,0,3,0,0
CLINICA ALEMANA DE SANTIAGO,,2020-01,3,1,0,1,0,0
CLINICA ALEMANA DE SANTIAGO,,2020-02,3,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2020-03,6,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,,2020-04,2,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,,2020-05,1,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2020-06,3,1,0,1,0,0
CLINICA ALEMANA DE SANTIAGO,,2020-07,5,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,,2020-08,5,1,0,1,0,0
CLINICA ALEMANA DE SANTIAGO,,2020-09,11,5,4,1,0,0
CLINICA ALEMANA DE SANTIAGO,,2020-10,6,2,1,0,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2020-11,7,5,2,2,1,0
CLINICA ALEMANA DE SANTIAGO,,2020-12,6,3,2,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-01,7,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-02,4,2,1,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-03,6,2,0,1,0,1
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-04,5,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-05,12,1,0,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-06,4,1,0,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-07,7,1,1,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-08,9,3,2,0,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-09,6,2,0,1,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-10,6,2,2,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-11,1,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2021-12,9,3,2,0,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-01,2,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-02,5,1,0,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-03,4,1,0,0,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-04,2,2,1,0,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-05,5,6,2,3,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-06,5,3,1,1,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-07,1,1,0,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-08,2,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-09,3,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-10,4,4,3,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-11,6,1,0,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2022-12,3,1,1,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-01,4,3,0,2,0,1
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-02,4,1,0,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-03,4,2,0,2,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-04,1,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-05,6,4,1,2,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-06,7,6,3,3,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-07,5,3,1,1,0,1
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-08,3,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-09,6,4,3,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-10,2,3,2,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-11,3,3,0,3,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2023-12,1,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-01,4,3,1,2,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-02,6,5,3,2,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-03,3,3,1,2,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-04,3,2,0,2,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-05,1,1,1,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-06,5,3,2,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-07,4,3,2,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-08,4,3,1,2,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-09,7,2,0,2,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-10,6,5,4,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-11,6,2,2,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2024-12,12,7,6,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-01,5,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-02,10,2,1,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-03,7,2,1,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-04,11,3,0,3,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-05,9,3,2,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-06,12,2,2,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-07,9,5,3,1,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-08,15,11,6,3,2,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-09,10,3,3,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-10,13,7,2,4,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-11,7,2,1,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2025-12,6,2,1,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2026-01,9,2,2,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2026-02,14,3,2,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2026-03,14,1,0,0,1,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2026-04,7,5,5,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2026-05,8,4,3,1,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2026-06,10,0,0,0,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2026-07,8,3,1,2,0,0
CLINICA ALEMANA DE SANTIAGO,96.770.100-9,2026-08,1,0,0,0,0,0
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2018-10,1,1,1,0,0,0
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2018-12,1,1,0,1,0,0
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2019-01,2,2,0,1,1,0
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2019-03,1,1,0,1,0,0
CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,2019-07,1,1,0,1,0,0
CLÍNICA ALEMANA DE TEMUCO,,2019-09,1,1,0,0,1,0
CLÍNICA ALEMANA DE TEMUCO,,2019-11,1,1,0,1,0,0
CLÍNICA ALEMANA DE TEMUCO,,2019-12,2,2,0,1,1,0
CLÍNICA ALEMANA DE TEMUCO,,2020-01,1,1,0,1,0,0
CLÍNICA ALEMANA DE TEMUCO,,2020-02,4,4,0,4,0,0
