client_name,period,total_reports,reports_with_used_parts,reports_review_required
ACME,2018-08,1,0,0
ACME,2018-10,1,1,1
ACME,2019-01,4,0,0
ACME,2019-05,2,1,1
ACME,2019-06,2,0,0
ACME,2019-08,2,0,0
ACME,2019-09,1,0,0
ACME,2019-12,2,1,1
ACME,2020-02,1,0,0
ACME,2020-03,1,0,0
ACME,2020-05,1,0,0
ACME,2020-06,1,0,0
ACME,2020-10,2,0,0
ACME,2021-06,5,3,3
ACME,2021-07,5,0,0
ACME,2022-02,1,1,1
ACME,2022-08,5,0,0
ACME,2022-11,3,0,0
ACME,2023-02,1,0,0
ACME,2023-03,5,0,0
ACME,2023-11,3,1,1
ACME,2023-12,1,1,1
ACME,2024-02,9,3,2
ACME,2024-03,2,0,0
ACME,2024-04,2,1,1
ACME,2024-05,1,1,1
ACME,2024-07,1,0,0
ACME,2024-11,1,0,0
ACME,2026-01,1,0,0
CLINICA ALEMANA DE SANTIAGO,2018-08,2,1,1
CLINICA ALEMANA DE SANTIAGO,2018-09,9,4,3
CLINICA ALEMANA DE SANTIAGO,2018-10,4,4,3
CLINICA ALEMANA DE SANTIAGO,2018-11,3,1,1
CLINICA ALEMANA DE SANTIAGO,2018-12,2,2,2
CLINICA ALEMANA DE SANTIAGO,2019-01,3,2,1
CLINICA ALEMANA DE SANTIAGO,2019-02,5,4,3
CLINICA ALEMANA DE SANTIAGO,2019-03,3,1,0
CLINICA ALEMANA DE SANTIAGO,2019-04,3,2,2
CLINICA ALEMANA DE SANTIAGO,2019-05,3,0,0
CLINICA ALEMANA DE SANTIAGO,2019-06,2,1,0
CLINICA ALEMANA DE SANTIAGO,2019-07,6,3,2
CLINICA ALEMANA DE SANTIAGO,2019-08,6,4,3
CLINICA ALEMANA DE SANTIAGO,2019-09,2,0,0
CLINICA ALEMANA DE SANTIAGO,2019-10,3,2,2
CLINICA ALEMANA DE SANTIAGO,2019-11,5,2,2
CLINICA ALEMANA DE SANTIAGO,2019-12,9,2,2
CLINICA ALEMANA DE SANTIAGO,2020-01,3,1,1
CLINICA ALEMANA DE SANTIAGO,2020-02,3,0,0
CLINICA ALEMANA DE SANTIAGO,2020-03,6,0,0
CLINICA ALEMANA DE SANTIAGO,2020-04,2,0,0
CLINICA ALEMANA DE SANTIAGO,2020-05,1,0,0
CLINICA ALEMANA DE SANTIAGO,2020-06,3,1,1
CLINICA ALEMANA DE SANTIAGO,2020-07,5,0,0
CLINICA ALEMANA DE SANTIAGO,2020-08,5,1,1
CLINICA ALEMANA DE SANTIAGO,2020-09,11,3,1
CLINICA ALEMANA DE SANTIAGO,2020-10,6,2,2
CLINICA ALEMANA DE SANTIAGO,2020-11,7,5,3
CLINICA ALEMANA DE SANTIAGO,2020-12,6,2,2
CLINICA ALEMANA DE SANTIAGO,2021-01,7,0,0
CLINICA ALEMANA DE SANTIAGO,2021-02,4,2,1
CLINICA ALEMANA DE SANTIAGO,2021-03,6,2,2
CLINICA ALEMANA DE SANTIAGO,2021-04,5,0,0
CLINICA ALEMANA DE SANTIAGO,2021-05,12,1,1
CLINICA ALEMANA DE SANTIAGO,2021-06,4,1,1
CLINICA ALEMANA DE SANTIAGO,2021-07,7,1,1
CLINICA ALEMANA DE SANTIAGO,2021-08,9,2,1
CLINICA ALEMANA DE SANTIAGO,2021-09,6,2,2
CLINICA ALEMANA DE SANTIAGO,2021-10,6,2,2
CLINICA ALEMANA DE SANTIAGO,2021-11,1,0,0
CLINICA ALEMANA DE SANTIAGO,2021-12,9,2,1
CLINICA ALEMANA DE SANTIAGO,2022-01,2,0,0
CLINICA ALEMANA DE SANTIAGO,2022-02,5,1,1
CLINICA ALEMANA DE SANTIAGO,2022-03,4,1,1
CLINICA ALEMANA DE SANTIAGO,2022-04,2,2,1
CLINICA ALEMANA DE SANTIAGO,2022-05,5,5,5
CLINICA ALEMANA DE SANTIAGO,2022-06,5,3,2
CLINICA ALEMANA DE SANTIAGO,2022-07,1,1,1
CLINICA ALEMANA DE SANTIAGO,2022-08,2,0,0
CLINICA ALEMANA DE SANTIAGO,2022-09,3,0,0
CLINICA ALEMANA DE SANTIAGO,2022-10,4,3,1
CLINICA ALEMANA DE SANTIAGO,2022-11,6,1,1
CLINICA ALEMANA DE SANTIAGO,2022-12,3,1,0
CLINICA ALEMANA DE SANTIAGO,2023-01,4,3,3
CLINICA ALEMANA DE SANTIAGO,2023-02,4,1,1
CLINICA ALEMANA DE SANTIAGO,2023-03,4,2,2
CLINICA ALEMANA DE SANTIAGO,2023-04,1,0,0
CLINICA ALEMANA DE SANTIAGO,2023-05,6,4,4
CLINICA ALEMANA DE SANTIAGO,2023-06,7,5,3
CLINICA ALEMANA DE SANTIAGO,2023-07,5,3,2
CLINICA ALEMANA DE SANTIAGO,2023-08,3,0,0
CLINICA ALEMANA DE SANTIAGO,2023-09,6,4,1
CLINICA ALEMANA DE SANTIAGO,2023-10,2,2,1
CLINICA ALEMANA DE SANTIAGO,2023-11,3,3,3
CLINICA ALEMANA DE SANTIAGO,2023-12,1,0,0
CLINICA ALEMANA DE SANTIAGO,2024-01,4,3,2
CLINICA ALEMANA DE SANTIAGO,2024-02,6,4,2
CLINICA ALEMANA DE SANTIAGO,2024-03,3,3,2
CLINICA ALEMANA DE SANTIAGO,2024-04,3,2,2
CLINICA ALEMANA DE SANTIAGO,2024-05,1,1,0
CLINICA ALEMANA DE SANTIAGO,2024-06,5,3,1
CLINICA ALEMANA DE SANTIAGO,2024-07,4,3,2
CLINICA ALEMANA DE SANTIAGO,2024-08,4,3,2
CLINICA ALEMANA DE SANTIAGO,2024-09,7,2,2
CLINICA ALEMANA DE SANTIAGO,2024-10,6,4,1
CLINICA ALEMANA DE SANTIAGO,2024-11,6,2,0
CLINICA ALEMANA DE SANTIAGO,2024-12,12,4,2
CLINICA ALEMANA DE SANTIAGO,2025-01,5,0,0
CLINICA ALEMANA DE SANTIAGO,2025-02,10,2,2
CLINICA ALEMANA DE SANTIAGO,2025-03,7,2,1
CLINICA ALEMANA DE SANTIAGO,2025-04,11,3,3
CLINICA ALEMANA DE SANTIAGO,2025-05,9,3,1
CLINICA ALEMANA DE SANTIAGO,2025-06,12,2,1
CLINICA ALEMANA DE SANTIAGO,2025-07,9,5,2
CLINICA ALEMANA DE SANTIAGO,2025-08,15,8,5
CLINICA ALEMANA DE SANTIAGO,2025-09,10,2,0
CLINICA ALEMANA DE SANTIAGO,2025-10,13,6,5
CLINICA ALEMANA DE SANTIAGO,2025-11,7,2,1
CLINICA ALEMANA DE SANTIAGO,2025-12,6,2,1
CLINICA ALEMANA DE SANTIAGO,2026-01,9,2,0
CLINICA ALEMANA DE SANTIAGO,2026-02,14,3,2
CLINICA ALEMANA DE SANTIAGO,2026-03,14,1,1
CLINICA ALEMANA DE SANTIAGO,2026-04,7,3,0
CLINICA ALEMANA DE SANTIAGO,2026-05,8,2,1
CLINICA ALEMANA DE SANTIAGO,2026-06,10,0,0
CLINICA ALEMANA DE SANTIAGO,2026-07,8,3,2
CLINICA ALEMANA DE SANTIAGO,2026-08,1,0,0
CLÍNICA ALEMANA DE TEMUCO,2018-10,1,1,0
CLÍNICA ALEMANA DE TEMUCO,2018-12,1,1,1
CLÍNICA ALEMANA DE TEMUCO,2019-01,2,2,2
CLÍNICA ALEMANA DE TEMUCO,2019-03,1,1,1
CLÍNICA ALEMANA DE TEMUCO,2019-07,1,1,1
CLÍNICA ALEMANA DE TEMUCO,2019-09,1,1,1
CLÍNICA ALEMANA DE TEMUCO,2019-11,1,1,1
CLÍNICA ALEMANA DE TEMUCO,2019-12,2,2,2
CLÍNICA ALEMANA DE TEMUCO,2020-01,1,1,1
CLÍNICA ALEMANA DE TEMUCO,2020-02,4,4,4
CLÍNICA ALEMANA DE TEMUCO,2020-03,2,1,1
CLÍNICA ALEMANA DE TEMUCO,2020-05,1,1,1
CLÍNICA ALEMANA DE TEMUCO,2020-07,2,1,1
CLÍNICA ALEMANA DE TEMUCO,2020-08,2,2,2
CLÍNICA ALEMANA DE TEMUCO,2020-09,1,1,1
CLÍNICA ALEMANA DE TEMUCO,2020-11,1,1,1
CLÍNICA ALEMANA DE TEMUCO,2020-12,1,1,1
CLÍNICA ALEMANA DE TEMUCO,2021-01,3,3,3
CLÍNICA ALEMANA DE TEMUCO,2021-03,2,2,2
CLÍNICA ALEMANA DE TEMUCO,2021-07,2,2,2
CLÍNICA ALEMANA DE TEMUCO,2021-11,1,1,1
CLÍNICA LAS CONDES,2021-09,3,2,2
CLÍNICA LAS CONDES,2022-04,3,2,1
CLÍNICA LAS CONDES,2022-05,5,1,0
CLÍNICA LAS CONDES,2022-06,2,1,1
CLÍNICA LAS CONDES,2022-07,1,0,0
CLÍNICA LAS CONDES,2022-08,4,3,2
CLÍNICA LAS CONDES,2022-09,6,1,1
CLÍNICA LAS CONDES,2022-10,2,1,0
CLÍNICA LAS CONDES,2022-11,1,0,0
CLÍNICA LAS CONDES,2022-12,2,0,0
CLÍNICA LAS CONDES,2023-01,2,1,0
CLÍNICA LAS CONDES,2023-02,1,0,0
CLÍNICA LAS CONDES,2023-03,1,1,1
CLÍNICA LAS CONDES,2023-04,9,4,4
CLÍNICA LAS CONDES,2023-05,4,1,1
CLÍNICA LAS CONDES,2023-06,2,2,1
CLÍNICA LAS CONDES,2023-07,2,2,0
CLÍNICA LAS CONDES,2023-08,1,0,0
CLÍNICA LAS CONDES,2023-09,2,1,1
CLÍNICA LAS CONDES,2023-10,3,3,3
CLÍNICA LAS CONDES,2024-02,4,4,1
CLÍNICA LAS CONDES,2024-03,1,1,1
CLÍNICA LAS CONDES,2024-07,2,0,0
CLÍNICA LAS CONDES,2024-09,4,1,1
CLÍNICA LAS CONDES,2024-11,2,0,0
CLÍNICA LAS CONDES,2024-12,2,0,0
CLÍNICA LAS CONDES,2025-02,1,0,0
CLÍNICA LAS CONDES,2025-03,1,0,0
CLÍNICA LAS CONDES,2025-04,1,1,1
CLÍNICA LAS CONDES,2025-05,9,4,2
CLÍNICA LAS CONDES,2025-06,11,5,2
CLÍNICA LAS CONDES,2025-07,8,0,0
CLÍNICA LAS CONDES,2025-08,3,0,0
CLÍNICA LAS CONDES,2025-09,2,2,1
CLÍNICA LAS CONDES,2025-11,4,0,0
CLÍNICA LAS CONDES,2025-12,3,0,0
CLÍNICA LAS CONDES,2026-01,3,0,0
CLÍNICA LAS CONDES,2026-02,2,0,0
CLÍNICA LAS CONDES,2026-03,6,1,1
CLÍNICA LAS CONDES,2026-04,4,3,2
CLÍNICA LAS CONDES,2026-05,1,0,0
CLÍNICA LAS CONDES,2026-06,1,1,1
CLÍNICA LAS CONDES,2026-07,1,1,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2018-10,1,1,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2018-11,3,3,3
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2018-12,1,1,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-01,1,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-02,1,1,0
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-03,5,3,3
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-04,1,1,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-05,2,2,2
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-06,1,1,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-07,1,1,1
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-08,2,2,2
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-09,3,3,3
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-10,7,6,6
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-11,4,4,4
CLÍNICA SANATORIO ALEMÁN (ONCORAD),2019-12,12,11,11
