client_name,dolibarr_ref,dolibarr_label,first_observed_event_date,last_observed_event_date,observed_event_count,valid_interval_count,avg_interval_days,median_interval_days,selected_model,model_family,model_reason,estimated_life_days,estimated_life_months,estimated_life_p10_days,estimated_life_p50_days,estimated_life_p90_days,credible_interval_low_days,credible_interval_high_days,machine_weight,cohort_weight,cohort_source,n_events,n_intervals,n_censored_observations,replacement_rate_per_year,manufacturer_life_months,manufacturer_life_source,observed_vs_manufacturer_ratio,predicted_next_replacement_date,prediction_status,comparison_to_manufacturer,model_confidence_score,model_confidence_label,model_confidence_factors,statistical_notes,estimate_status,lifecycle_confidence_score,lifecycle_confidence_label,lifecycle_confidence_factors,min_interval_days,max_interval_days,stddev_interval_days,p25_interval_days,p75_interval_days,estimated_life_method,after_hours_ratio,notes
UC CHRISTUS - CECA,1534958,Leaf motor spares kit,2021-06-04T18:30:00.000Z,2026-06-27T17:25:00.000Z,17,15,159.8,82.05,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=15 intervalos): se ajustó un Weibull bayesiano estable.,82.05,2.7,5.9,82.05,420.67,5.9,420.67,,,,17,15,0,4.45,,NO_DATA,,2026-09-17T18:37:00.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,92,Alta,15 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 61 meses de cobertura (+12) | coeficiente de variación 1.27 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),"Grid 60x120 (shape x scale), 15 intervalo(s) usados, prior centrado en 71 días (moderate).",DIRECT_HISTORY_ENOUGH,92,Alta,15 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 61 meses de cobertura (+12) | coeficiente de variación 1.27 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),4,687,,,,BAYESIAN_WEIBULL_GRID,0.38,
Instituto Nacional del Cáncer (INC),1534958,Leaf motor spares kit,2023-10-19T15:42:00.000Z,2026-02-26T21:01:00.000Z,17,15,46.6,27.61,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=15 intervalos): se ajustó un Weibull bayesiano estable.,27.61,0.91,1.72,27.61,160.21,1.72,160.21,,,,17,15,0,13.23,,NO_DATA,,2026-03-26T11:39:24.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,92,Alta,15 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 28 meses de cobertura (+12) | coeficiente de variación 1.23 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),"Grid 60x120 (shape x scale), 15 intervalo(s) usados, prior centrado en 71 días (moderate).",DIRECT_HISTORY_ENOUGH,92,Alta,15 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 28 meses de cobertura (+12) | coeficiente de variación 1.23 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),1,159,,,,BAYESIAN_WEIBULL_GRID,0.08,
FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2020-04-23T12:00:22.726Z,2025-05-22T14:50:00.000Z,14,13,142.69,109.08,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=13 intervalos): se ajustó un Weibull bayesiano estable.,109.08,3.58,19.07,109.08,318.24,19.07,318.24,,,,14,13,0,3.35,,NO_DATA,,2025-09-08T16:45:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,92,Alta,13 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 61 meses de cobertura (+12) | coeficiente de variación 0.81 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),"Grid 60x120 (shape x scale), 13 intervalo(s) usados, prior centrado en 71 días (moderate).",DIRECT_HISTORY_ENOUGH,92,Alta,13 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 61 meses de cobertura (+12) | coeficiente de variación 0.81 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),5,393,,,,BAYESIAN_WEIBULL_GRID,0.67,
CLINICA ALEMANA DE SANTIAGO,1534958,Leaf motor spares kit,2020-09-05T14:00:44.379Z,2025-11-25T14:36:00.000Z,14,11,160.82,64.2,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=11 intervalos): se ajustó un Weibull bayesiano estable.,64.2,2.11,3.15,64.2,425.73,3.15,425.73,,,,14,11,0,5.69,,NO_DATA,,2026-01-28T19:24:00.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,92,Alta,11 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 63 meses de cobertura (+12) | coeficiente de variación 1.62 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),"Grid 60x120 (shape x scale), 11 intervalo(s) usados, prior centrado en 71 días (moderate).",DIRECT_HISTORY_ENOUGH,92,Alta,11 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 63 meses de cobertura (+12) | coeficiente de variación 1.62 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),5,743,,,,BAYESIAN_WEIBULL_GRID,0.58,
UC CHRISTUS - CECA,1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2019-01-15T11:30:00.000Z,2026-03-07T16:36:00.000Z,10,8,387,267.48,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=8 intervalos): se ajustó un Weibull bayesiano estable.,267.48,8.79,31.39,267.48,980.18,31.39,980.18,,,,10,8,0,1.37,,NO_DATA,,2026-11-30T04:07:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,77,Media,8 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 86 meses de cobertura (+12) | coeficiente de variación 1.02 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=8 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 8 intervalo(s) usados, prior centrado en 242 días (moderate).",DIRECT_HISTORY_ENOUGH,77,Media,8 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 86 meses de cobertura (+12) | coeficiente de variación 1.02 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=8 intervalos (<10) (-10),56,1006,,,,BAYESIAN_WEIBULL_GRID,0.34,
CLINICA ALEMANA DE SANTIAGO,1564298,Diaphragm/DLG PCB,2023-10-06T19:45:00.000Z,2026-05-16T15:44:00.000Z,9,7,174,130.98,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=7 intervalos): se ajustó un Weibull bayesiano estable.,130.98,4.3,17.43,130.98,442.45,17.43,442.45,,,,9,7,0,2.79,,NO_DATA,,2026-09-24T15:15:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,77,Media,7 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 31 meses de cobertura (+12) | coeficiente de variación 0.86 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=7 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 7 intervalo(s) usados, prior centrado en 144 días (moderate).",DIRECT_HISTORY_ENOUGH,77,Media,7 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 31 meses de cobertura (+12) | coeficiente de variación 0.86 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=7 intervalos (<10) (-10),16,428,,,,BAYESIAN_WEIBULL_GRID,0.54,
UC CHRISTUS - CECA,1502613,Laser ODI Spares Kit,2019-03-14T20:30:00.000Z,2026-06-17T13:00:00.000Z,8,6,451.17,303.54,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=6 intervalos): se ajustó un Weibull bayesiano estable.,303.54,9.97,29.6,303.54,1256.94,29.6,1256.94,,,,8,6,0,1.2,,NO_DATA,,2027-04-17T01:57:36.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,77,Media,6 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 87 meses de cobertura (+12) | coeficiente de variación 1.20 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=6 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 6 intervalo(s) usados, prior centrado en 352 días (moderate).",DIRECT_HISTORY_ENOUGH,77,Media,6 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 87 meses de cobertura (+12) | coeficiente de variación 1.20 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=6 intervalos (<10) (-10),31,1504,,,,BAYESIAN_WEIBULL_GRID,0.37,
Instituto Nacional del Cáncer (INC),1541718,"FRU, Pancake Motor Assembly",2024-12-26T22:35:00.000Z,2026-03-27T12:05:00.000Z,8,7,65.14,43.76,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=7 intervalos): se ajustó un Weibull bayesiano estable.,43.76,1.44,3.72,43.76,205.12,3.72,205.12,,,,8,7,0,8.35,,NO_DATA,,2026-05-10T06:19:24.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,73,Media,7 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 15 meses de cobertura (+8) | coeficiente de variación 1.14 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=7 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 7 intervalo(s) usados, prior centrado en 71 días (moderate).",DIRECT_HISTORY_ENOUGH,73,Media,7 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 15 meses de cobertura (+8) | coeficiente de variación 1.14 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=7 intervalos (<10) (-10),2,197,,,,BAYESIAN_WEIBULL_GRID,0.27,
HOSPITAL CARLOS VAN BUREN (SSVSA),821321900352,"Fuse, 10A 32 VAC, time delay, glass cartridge 32 mm x 6.3mm (FS32E)",2018-09-02T17:00:00.000Z,2023-07-28T20:24:00.000Z,7,6,298.33,205.14,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=6 intervalos): se ajustó un Weibull bayesiano estable.,205.14,6.74,21.42,205.14,806.2,21.42,806.2,,,,7,6,0,1.78,,NO_DATA,,2024-02-18T23:45:36.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,77,Media,6 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 59 meses de cobertura (+12) | coeficiente de variación 1.10 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=6 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 6 intervalo(s) usados, prior centrado en 219 días (moderate).",DIRECT_HISTORY_ENOUGH,77,Media,6 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 59 meses de cobertura (+12) | coeficiente de variación 1.10 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=6 intervalos (<10) (-10),43,875,,,,BAYESIAN_WEIBULL_GRID,0.43,
UC CHRISTUS - CECA,1564298,Diaphragm/DLG PCB,2023-08-25T13:00:00.000Z,2025-08-29T18:27:00.000Z,7,5,231.2,122.2,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=5 intervalos): se ajustó un Weibull bayesiano estable.,122.2,4.01,7.24,122.2,699.27,7.24,699.27,,,,7,5,0,2.99,,NO_DATA,,2025-12-29T23:15:00.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,77,Media,5 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 24 meses de cobertura (+12) | coeficiente de variación 0.97 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=5 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 5 intervalo(s) usados, prior centrado en 144 días (moderate).",DIRECT_HISTORY_ENOUGH,77,Media,5 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 24 meses de cobertura (+12) | coeficiente de variación 0.97 (+2) | hay estimación de cohorte disponible (+12) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=5 intervalos (<10) (-10),1,530,,,,BAYESIAN_WEIBULL_GRID,0.31,
