dolibarr_ref,dolibarr_label,first_observed_event_date,last_observed_event_date,observed_event_count,valid_interval_count,avg_interval_days,median_interval_days,selected_model,model_family,model_reason,estimated_life_days,estimated_life_months,estimated_life_p10_days,estimated_life_p50_days,estimated_life_p90_days,credible_interval_low_days,credible_interval_high_days,machine_weight,cohort_weight,cohort_source,n_events,n_intervals,n_censored_observations,replacement_rate_per_year,manufacturer_life_months,manufacturer_life_source,observed_vs_manufacturer_ratio,predicted_next_replacement_date,prediction_status,comparison_to_manufacturer,model_confidence_score,model_confidence_label,model_confidence_factors,statistical_notes,estimate_status,lifecycle_confidence_score,lifecycle_confidence_label,lifecycle_confidence_factors,min_interval_days,max_interval_days,stddev_interval_days,p25_interval_days,p75_interval_days,estimated_life_method,after_hours_ratio,notes
1534958,Leaf motor spares kit,2020-04-23T12:00:22.726Z,2026-06-27T17:25:00.000Z,78,65,148.71,70.52,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=65 intervalos): se ajustó un Weibull bayesiano estable.,70.52,2.32,4.69,70.52,393.01,4.69,393.01,,,,78,65,0,5.18,,NO_DATA,,2026-09-06T05:53:48.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,80,Media,65 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 74 meses de cobertura (+12) | coeficiente de variación 1.46 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),"Grid 60x120 (shape x scale), 65 intervalo(s) usados, sin prior externo (uniforme).",DIRECT_HISTORY_ENOUGH,80,Media,65 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 74 meses de cobertura (+12) | coeficiente de variación 1.46 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),1,1151,,,,BAYESIAN_WEIBULL_GRID,0.39,
1564298,Diaphragm/DLG PCB,2023-08-25T13:00:00.000Z,2026-06-05T21:04:00.000Z,35,22,205.5,143.89,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=22 intervalos): se ajustó un Weibull bayesiano estable.,143.89,4.73,19,143.89,509.56,19,509.56,,,,35,22,0,2.54,,NO_DATA,,2026-10-27T18:25:36.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,80,Media,22 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 33 meses de cobertura (+12) | coeficiente de variación 0.75 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),"Grid 60x120 (shape x scale), 22 intervalo(s) usados, sin prior externo (uniforme).",DIRECT_HISTORY_ENOUGH,80,Media,22 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 33 meses de cobertura (+12) | coeficiente de variación 0.75 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),1,530,,,,BAYESIAN_WEIBULL_GRID,0.42,
1502613,Laser ODI Spares Kit,2018-11-23T22:30:00.000Z,2026-06-17T13:00:00.000Z,25,16,429.31,351.96,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=16 intervalos): se ajustó un Weibull bayesiano estable.,351.96,11.56,69.5,351.96,969.25,69.5,969.25,,,,25,16,0,1.04,,NO_DATA,,2027-06-04T12:02:24.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,80,Media,16 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 91 meses de cobertura (+12) | coeficiente de variación 0.85 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),"Grid 60x120 (shape x scale), 16 intervalo(s) usados, sin prior externo (uniforme).",DIRECT_HISTORY_ENOUGH,80,Media,16 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 91 meses de cobertura (+12) | coeficiente de variación 0.85 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),31,1504,,,,BAYESIAN_WEIBULL_GRID,0.38,
1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2019-01-15T11:30:00.000Z,2026-05-07T19:47:00.000Z,24,14,361.14,241.54,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=14 intervalos): se ajustó un Weibull bayesiano estable.,241.54,7.93,26.11,241.54,962.64,26.11,962.64,,,,24,14,0,1.51,,NO_DATA,,2027-01-04T08:44:36.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,80,Media,14 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 88 meses de cobertura (+12) | coeficiente de variación 1.03 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),"Grid 60x120 (shape x scale), 14 intervalo(s) usados, sin prior externo (uniforme).",DIRECT_HISTORY_ENOUGH,80,Media,14 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 88 meses de cobertura (+12) | coeficiente de variación 1.03 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),16,1006,,,,BAYESIAN_WEIBULL_GRID,0.39,
45133304800,SL ELECTRON GUN ASSY,2019-06-21T15:00:00.000Z,2026-01-16T17:56:00.000Z,22,11,450.82,425.98,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=11 intervalos): se ajustó un Weibull bayesiano estable.,425.98,13.99,138.25,425.98,855.39,138.25,855.39,,,,22,11,0,0.86,,NO_DATA,,2027-03-18T17:27:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,84,Media,11 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 79 meses de cobertura (+12) | coeficiente de variación 0.58 (+6) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),"Grid 60x120 (shape x scale), 11 intervalo(s) usados, sin prior externo (uniforme).",DIRECT_HISTORY_ENOUGH,84,Media,11 intervalo(s) válidos (+20) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 79 meses de cobertura (+12) | coeficiente de variación 0.58 (+6) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6),89,1036,,,,BAYESIAN_WEIBULL_GRID,0.37,
1018265_proveedor_local,"Proveedor Local, FRU MOTOR BRUSH SET (ELECTROCRAFT)",2020-04-18T12:00:00.000Z,2025-11-10T11:38:00.000Z,19,9,414.44,398.36,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=9 intervalos): se ajustó un Weibull bayesiano estable.,398.36,13.09,131.79,398.36,786.49,131.79,786.49,,,,19,9,0,0.92,,NO_DATA,,2026-12-13T20:16:24.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,65,Media,9 intervalo(s) válidos (+15) | match por método débil (REF_LIKE) (+8) | asociación single (+12) | 67 meses de cobertura (+12) | coeficiente de variación 0.58 (+6) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=9 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 9 intervalo(s) usados, sin prior externo (uniforme).",DIRECT_HISTORY_ENOUGH,65,Media,9 intervalo(s) válidos (+15) | match por método débil (REF_LIKE) (+8) | asociación single (+12) | 67 meses de cobertura (+12) | coeficiente de variación 0.58 (+6) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=9 intervalos (<10) (-10),138,877,,,,BAYESIAN_WEIBULL_GRID,0.46,
1515098,ION PUMP - SPARE,2018-08-24T11:30:00.000Z,2026-04-20T14:30:00.000Z,17,8,394.75,351.42,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=8 intervalos): se ajustó un Weibull bayesiano estable.,351.42,11.54,77.08,351.42,888.61,77.08,888.61,,,,17,8,0,1.04,,NO_DATA,,2027-04-07T00:34:48.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,65,Media,8 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 92 meses de cobertura (+12) | coeficiente de variación 0.75 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=8 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 8 intervalo(s) usados, sin prior externo (uniforme).",DIRECT_HISTORY_ENOUGH,65,Media,8 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 92 meses de cobertura (+12) | coeficiente de variación 0.75 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=8 intervalos (<10) (-10),89,927,,,,BAYESIAN_WEIBULL_GRID,0.42,
1010848,"Mirror assembly, optics (Agility)",2019-04-02T15:30:00.000Z,2025-11-17T14:51:00.000Z,17,8,500.75,350.86,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=8 intervalos): se ajustó un Weibull bayesiano estable.,350.86,11.53,35.73,350.86,1431.32,35.73,1431.32,,,,17,8,0,1.04,,NO_DATA,,2026-11-03T11:29:24.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,65,Media,8 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 80 meses de cobertura (+12) | coeficiente de variación 1.01 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=8 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 8 intervalo(s) usados, sin prior externo (uniforme).",DIRECT_HISTORY_ENOUGH,65,Media,8 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 80 meses de cobertura (+12) | coeficiente de variación 1.01 (+2) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=8 intervalos (<10) (-10),64,1229,,,,BAYESIAN_WEIBULL_GRID,0.38,
1018559,"ASSY, BRACKET & FAN",2019-04-02T15:30:00.000Z,2026-05-09T00:24:00.000Z,15,6,342.5,314.51,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=6 intervalos): se ajustó un Weibull bayesiano estable.,314.51,10.33,78.73,314.51,724.33,78.73,724.33,,,,15,6,0,1.16,,NO_DATA,,2027-03-19T12:38:24.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,69,Media,6 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 85 meses de cobertura (+12) | coeficiente de variación 0.58 (+6) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=6 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 6 intervalo(s) usados, sin prior externo (uniforme).",DIRECT_HISTORY_ENOUGH,69,Media,6 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 85 meses de cobertura (+12) | coeficiente de variación 0.58 (+6) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=6 intervalos (<10) (-10),28,539,,,,BAYESIAN_WEIBULL_GRID,0.24,
1024939,"ASSY, 40X40X10MM FAN, HEATSINK",2022-01-12T00:00:00.000Z,2026-02-27T17:00:00.000Z,15,8,356.13,343.28,BAYESIAN_WEIBULL_GRID,DIRECT_HISTORY_ENOUGH,Suficiente historial propio (n=8 intervalos): se ajustó un Weibull bayesiano estable.,343.28,11.28,111.5,343.28,689.01,111.5,689.01,,,,15,8,0,1.06,,NO_DATA,,2027-02-05T23:43:12.000Z,DIRECT_HISTORY_ENOUGH,NO_MANUFACTURER_DATA,69,Media,8 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 50 meses de cobertura (+12) | coeficiente de variación 0.59 (+6) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=8 intervalos (<10) (-10),"Grid 60x120 (shape x scale), 8 intervalo(s) usados, sin prior externo (uniforme).",DIRECT_HISTORY_ENOUGH,69,Media,8 intervalo(s) válidos (+15) | match exacto/alias (REF_EXACT) (+12) | asociación single (+12) | 50 meses de cobertura (+12) | coeficiente de variación 0.59 (+6) | sin cohorte disponible (+0) | hay datos de uso/contrato/horario (+8) | STABLE (+8) | estimación de tipo DIRECT_HISTORY_ENOUGH (+6) | n=8 intervalos (<10) (-10),134,846,,,,BAYESIAN_WEIBULL_GRID,0.37,
