equipment_internal_id,dolibarr_ref,insight_type,insight_text,severity
LINAC-153038,1534958,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
LINAC-153038,1534958,ABOVE_GLOBAL_AVERAGE,Este repuesto presenta mayor duración observada que el promedio global.,positive
LINAC-153038,1534958,AFTER_HOURS_EXPOSURE,"La máquina presenta actividad fuera de horario relevante; esto podría ser un factor explicativo, pero no prueba causalidad.",info
Linac-153935,1534958,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
Linac-152171,1534958,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
Linac-152171,1534958,BELOW_GLOBAL_AVERAGE,"Este repuesto presenta menor duración observada que el promedio global - no implica una causa específica, es solo una comparación descriptiva.",warning
Linac-152171,1534958,AFTER_HOURS_EXPOSURE,"La máquina presenta actividad fuera de horario relevante; esto podría ser un factor explicativo, pero no prueba causalidad.",info
INC-INFINITY01,1534958,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
INC-INFINITY01,1534958,BELOW_GLOBAL_AVERAGE,"Este repuesto presenta menor duración observada que el promedio global - no implica una causa específica, es solo una comparación descriptiva.",warning
Linac-153935,1517657,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
Linac-153935,1517657,AFTER_HOURS_EXPOSURE,"La máquina presenta actividad fuera de horario relevante; esto podría ser un factor explicativo, pero no prueba causalidad.",info
INC-156473,1534958,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
INC-156473,1534958,BELOW_GLOBAL_AVERAGE,"Este repuesto presenta menor duración observada que el promedio global - no implica una causa específica, es solo una comparación descriptiva.",warning
INC-156473,1541718,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
INC-156473,1541718,BELOW_GLOBAL_AVERAGE,"Este repuesto presenta menor duración observada que el promedio global - no implica una causa específica, es solo una comparación descriptiva.",warning
Linac-154325,821321900352,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
Linac-154325,821321900352,AFTER_HOURS_EXPOSURE,"La máquina presenta actividad fuera de horario relevante; esto podría ser un factor explicativo, pero no prueba causalidad.",info
LINAC-153038,45133304800,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
LINAC-153038,45133304800,BELOW_GLOBAL_AVERAGE,"Este repuesto presenta menor duración observada que el promedio global - no implica una causa específica, es solo una comparación descriptiva.",warning
LINAC-153038,45133304800,AFTER_HOURS_EXPOSURE,"La máquina presenta actividad fuera de horario relevante; esto podría ser un factor explicativo, pero no prueba causalidad.",info
Linac-154325,1534958,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
Linac-154325,1534958,ABOVE_GLOBAL_AVERAGE,Este repuesto presenta mayor duración observada que el promedio global.,positive
Linac-154325,1534958,AFTER_HOURS_EXPOSURE,"La máquina presenta actividad fuera de horario relevante; esto podría ser un factor explicativo, pero no prueba causalidad.",info
Linac-156187,1534958,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
Linac-153935,1018559,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
LINAC-153038,1502613,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
LINAC-153038,1502613,BELOW_GLOBAL_AVERAGE,"Este repuesto presenta menor duración observada que el promedio global - no implica una causa específica, es solo una comparación descriptiva.",warning
LINAC-153038,1502613,AFTER_HOURS_EXPOSURE,"La máquina presenta actividad fuera de horario relevante; esto podría ser un factor explicativo, pero no prueba causalidad.",info
LINAC-153038,1024939,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
LINAC-153038,1024939,BELOW_GLOBAL_AVERAGE,"Este repuesto presenta menor duración observada que el promedio global - no implica una causa específica, es solo una comparación descriptiva.",warning
LINAC-153038,1024939,AFTER_HOURS_EXPOSURE,"La máquina presenta actividad fuera de horario relevante; esto podría ser un factor explicativo, pero no prueba causalidad.",info
Linac-152171,1564298,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
Linac-152171,1564298,ABOVE_GLOBAL_AVERAGE,Este repuesto presenta mayor duración observada que el promedio global.,positive
Linac-152171,1564298,AFTER_HOURS_EXPOSURE,"La máquina presenta actividad fuera de horario relevante; esto podría ser un factor explicativo, pero no prueba causalidad.",info
Linac-109256,1564298,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
Linac-109256,1564298,BELOW_GLOBAL_AVERAGE,"Este repuesto presenta menor duración observada que el promedio global - no implica una causa específica, es solo una comparación descriptiva.",warning
Linac-109256,1564298,AFTER_HOURS_EXPOSURE,"La máquina presenta actividad fuera de horario relevante; esto podría ser un factor explicativo, pero no prueba causalidad.",info
Linac-153935,1502613,MATCH_QUALITY,"El match con Dolibarr es exacto, lo que aumenta la confiabilidad de esta estimación.",positive
Linac-153935,1502613,AFTER_HOURS_EXPOSURE,"La máquina presenta actividad fuera de horario relevante; esto podría ser un factor explicativo, pero no prueba causalidad.",info
Linac-153935,1018265_proveedor_local,ABOVE_GLOBAL_AVERAGE,Este repuesto presenta mayor duración observada que el promedio global.,positive
