equipment_internal_id,total_reports,used_parts_count,matched_used_parts_count,placeholder_used_parts_count,unmatched_used_parts_count,ambiguous_used_parts_count
LINAC-153038,342,226,147,34,36,9
Linac-154325,245,194,91,83,18,2
Linac-153935,282,184,103,37,36,8
Linac-201110,157,131,34,69,23,5
Linac-152171,284,126,67,48,9,2
APOTECA-CHEMO,221,104,19,71,11,3
Linac-109256,192,90,48,32,8,2
Linac-109374,127,88,54,23,9,2
INC-INFINITY01,133,87,58,13,15,1
Linac-151673,183,81,35,36,9,1
INC-156473,118,77,62,11,1,3
CLC-1,60,49,31,11,7,0
Linac-201172,98,48,21,22,5,0
Linac-156187,70,43,25,13,2,3
153038,72,32,9,13,10,0
Linac-105277,36,26,4,14,8,0
Linac-201073,25,23,1,16,4,2
Linac-151238,61,22,7,13,1,1
HDR_10806,27,20,4,15,1,0
Linac-109452,22,18,6,9,3,0
Linac-153038,20,17,9,3,4,1
PANASONIC-ISP,26,17,0,17,0,0
Linac-109496,46,16,7,6,3,0
TPS-FALP,21,14,3,9,2,0
APOTECA-PS,59,12,1,8,3,0
CLC-2,40,12,5,6,1,0
Linac-152280,13,11,2,8,1,0
OIS-HCVB,10,9,0,9,0,0
Linac-105157,14,9,1,7,0,1
2286,25,8,0,3,5,0
TPS-HCVB,13,8,0,7,1,0
TPS-UC,15,6,1,4,1,0
Linac-01,7,6,0,0,6,0
OIS-FALP,13,5,1,2,2,0
OIS-UC,18,5,2,2,1,0
OIS-HCM,12,5,0,4,1,0
TPS-HCM,10,5,0,4,1,0
LIAC-FALP,6,4,0,4,0,0
TPS-CAS,10,4,0,4,0,0
TPS-INRAD,5,3,0,3,0,0
HDR-FT07026,22,3,0,3,0,0
SIM-HCM,2,2,0,1,1,0
OIS-INRAD,5,2,0,2,0,0
SIM-1,1,2,0,2,0,0
OIS-ONCORAD,1,1,0,0,1,0
OIS-CAS,5,1,0,1,0,0
HDR-FT00056,4,1,0,1,0,0
TPS-ONCORAD,2,1,0,0,1,0
LAP-Dorado_C01,3,1,0,1,0,0
OIS-CAT,1,1,0,1,0,0
LAP-Laser-INC,2,1,0,0,1,0
RT-2062DS,3,1,0,1,0,0
K-ARL-M3,1,1,0,1,0,0
LAP-Laser_HRT,2,0,0,0,0,0
LAP-LASER-HCVB,1,0,0,0,0,0
HDR-FT02181,4,0,0,0,0,0
HDR-FT02211,3,0,0,0,0,0
