equipment_internal_id,total_tickets,fieldbeat_report_count,tickets_with_used_parts,used_parts_count,unmatched_used_parts_count,ambiguous_used_parts_count,review_required_tickets
INC-156473,41,53,23,41,2,0,11
Linac-109256,29,37,10,12,2,0,5
Linac-109374,22,28,12,32,4,1,5
LINAC-153038,16,29,9,17,1,2,7
Linac-153935,15,21,9,18,2,1,3
Linac-152171,13,17,8,13,1,0,3
CLC-1,12,16,6,7,2,0,3
Linac-154325,10,12,6,14,2,0,2
Linac-201172,7,9,3,5,2,0,3
Linac-109496,6,8,2,2,0,0,1
Linac-109452,6,7,3,6,1,0,1
OIS-HCM,5,5,2,2,0,0,2
CLC-2,5,5,1,1,1,0,1
INC-INFINITY01,3,5,1,4,0,0,0
HDR-FT07026,3,3,0,0,0,0,0
TPS-HCM,2,2,1,1,0,0,1
Linac-156187,2,2,1,1,0,1,1
Linac-01,1,1,1,1,1,0,1
153038,1,1,0,0,0,0,0
OIS-INRAD,1,1,0,0,0,0,0
2286,1,1,0,0,0,0,0
OIS-FALP,1,1,0,0,0,0,0
Linac-201110,1,1,1,1,0,0,0
