normalized_part_identifier,raw_part_identifier,part_name,occurrences,matched_count,placeholder_count,no_match_count,ambiguous_count,dolibarr_refs,dolibarr_product_ids,match_statuses,match_methods,needs_manual_review
NA,NA|N/A|n/a|n/A|na|Na,"NA|N/C|N/A|no hay|Disco duro de Sequencer Mosaiq|Tapete de identificación de viales|Tapete de identificación viales|Base soporte jeringa 50ml|Soporte de Jeringa 50ml|n/a|Fuse 10A 32V|Mónaco 5.51.10 upgrade kit|Halógeno lamp 8V 50W|Cintas de respaldo Nr 8|Grasa Ep2
Limpia contactos|UPS AP|Rodillo
Base de cuchilla|NR 04 RUEDAS 125/35|Módulo térmico de impresión|Insumos:  grasa EP2
                   W40
|Microswicht Enable de camilla|Grasa Ep2|Hub USB 4 puertos|na|CCTV|NS|Cable extensores 4.5 m Cant: 2|Protection Glass for Panasonic UD-716 Reader|Cable señales y alimentacion de movimientos  mesa|Lámparas UV (6 unidades)|Pin guía para bomba succión|Modulo térmico ZD620|NO Hay|Na|FUSIBLE 8 AM|Isolator 300 W|Isolator 600 W|Térmico impresora Zebra|Fuente de Iridium 192|Lubricante W40
Paños de fibra sin residuos
Aire comprimido |Cable de HT reutilizado|Cable de alta no original|Aire comprimido -corones de limpieza|nuez de agility|No hay|Wd40
paños multifibras
aceite lubricante|Micro|DIODO IN 5822|Prefiltro Transparente Bomba De reposición Linac|Fusible de 1,6 Amp|No|Grasa EP-2, paños de limpieza, amarras plásticas,wd-40 para Mantenimiento.|No.|filtro y bamba de condensado.",289,0,289,0,0,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,true
(vacio),---|.......,"DLG PCB  SN 1538489 / 1 Tornillo-Nuez-Motor Agility Banco Y2|Fusible de retardo de 10 amp.|Sesión Webex
|4 Nueces-Tornillos-Motor|N/C|Ampolleta Halogen 12V / 75w|aceite multisuso|Gun Filament PSU|Luz alternativa de 12v.
Fusible de 250 v/ 8A.
|Assembly usados|Un extensor USB. 
Un extensor VGA + USB.  
Dos mouse  Genius. 
Dos teclados Genius.  
Un concentrador USB.  
Un soporte de monitor.  
Un monitor 22"" Hp.  
Dos cables red Cat5,  30 metros. 
|Bomba Turbo|1 HD 146 gb HP para Servidor Proliant 653950-001
2 UPSs Eaton y APC|Fuente de Poder Bonbas Ionicas|2 filtros de agua|FUSIBLE DE 10 AMP. 250 Volts|Grasa Especial para Agility|Generador 400 v para XVI|Fuse 32V 10A|Gun and Filament Assembly|Kit de FCO, Grasa, Cotones.|cable UTP cat 5 - 100 metros|Sistema de extensión USB cat 5|Leaf Motor|3 Nueces|fusible
|Cable de potenciómetros laterales SK5|2 NR PCB leaf motor drive 
2 NR kit de motor leaf.
|fusible de retardo de 250 VAC 10 Amp.|Fuse 32 mm FS76A|Unidad de Cinta LTO 6 HPE|Fusible|Fusible de 10 A|Freno DLG Y2|Espejo Mylar|Ensamble Cañon|Fusible de 10Amp|3 kit de tornillos motores nueces de agility|Fuente iridio|Baterías x2|Fusible 20A|Base de soporte jeringa 50ml|2 Filtros de Agua 5 micrones Elekta|Ampolleta ODI|fusible de 10A/32vp|Fusible 10A|fusible 10 A  32 V pp|HDD para NSS|Fusible 10A Thyratron Supply|Contenedor depósito de líquido de sueros|Fusible 10A 250V|fusible 10A 32VP|Bateria Litio CR2032|Conjunto de Potenciometros de Gantry.|Luz Halogena 12V 75W|Kit de bomba Bluephantom|frenos de diafragmas|Fusible 10A/32Vp|Filtro principal Canister|Filtro de bomba succión de sueros|Nuez|2 x Panqueques, 1 Kit telemetro, 1 DLG PCB, 1 DIE RHB |Monitor ViewSonic|Tapete antiresbalante de identificación|Grasa EP2, paños de limpieza. |(1) Diaphragms Brake|(2) Leaf Motor, Kit|kits upgrade monaco 5.51.10|Disco duro|Soporte de Jeringa 50ml|kits upgrade monaco|elementos de limpieza en sitio|Fusible de 10A/32Vp|Servidor Direct Storage y LTO de cinta|kits upgrade nss e integrity|Grasa Ep2
Limpia Contacto
Aire Comprimido|Filtros de agua circuito interno|1- Panel Xvi (nueva generación)
2- Generador XRays
3- Mk6
4- 2 baterias para UPS EIM
5- Tarjeta PCB microsiwtch dd movimiento longitudinal XVi
6- motor movimiento longitudinal XVi
7- freno movimiento longitudinal XVi|fusible  10A / 32V|6 Lámparas UV|Balanza Metler Toledo|Bomba de extracción sueros|Tapate de identificación|1 Filtro 520|1 Filtro Canister|4 Filtros 519|PCB2 Assembly Side A and B|isos Mónaco 6|Baterías|iso windows xp|iso Mónaco 6|Pasta de pulir vidrio|Pegamento Loctite vidrio|barcode e impresoras|Fuente de Ir-192|Breaker CB9 Schneider D2|Aire comprimido
limpia contacto
wd40|vidrio protector - proveededor local|micro switch de touchguard|pantalla de 24 pulgadas, marca View Sonic |grasa ep2
wd40
alcohol
paños de limpieza|disco hdd rtp99|fusible 5 amp/ 250 vol|Monitor LG 27""|(2) Tornillos Allen|piola lado A del panel iView|grasa ep2
wd40
paños de microfibra|Grasa ep2
wd40
aceite lubricante triflow
paños|Fusible de 32V/10 A|baterías de unidad TDU del Flexitron|kits de instalación Mónaco|acronis|isos Mónaco 6.1.1|grasa ep2
paños
alchool
wd40
amarras plásticas|grasa ep2
paños microfibras
wd40
amarras plásticas|grasa ep2
paños microfibras
wd40
aciete lubricante triflow|Kit conversión Viaflex|Clamp Viaflex|grasa ep2
aire comprimido
paños|grasa ep2
aire comprimido
paños microfibras|lubricante W40, limpiador de contacto electrónico, paños de limpieza, lubricante mecánico, amarras plásticas, filtro de agua de 5 micra del chiller |grasa EP2, lubricante W40, limpia contacto, amarras plásticas, lubricante en aceite, paños de limpieza.|grasa ep2, wd-40|kits de Mónaco 6.1.2|paños de limpieza, aceites lubricantes, amarras plásticas|grasa ep2
wd40
paños multifibra|grasa ep2
wd40
aceite triflow
paños multifibra|fusibles|PC FUJITSU  Y PCB INTERLOCK POWER BOX HEXAPOD|paños de limpieza, W40, |grasa ep2
wd40
paños
alcohol|paños
wd40
grasa ep2
multimetro|nuez de motor|filtro|grasa ep2
wd40
paños multifibras
alcohol|pedir a elekta|aire comprimido (vacio), limpia contacto, W40 (vacio), aceite trifolio (vacio) |cambio de filtro para chiller|6 mtrs de cable CAT5|Cable DVI 5mts|Alcohol
Wd40
aceite lubricante triflow
grasa Ep2
paños microfibras
aceite de caja mécanica|(05) nueces cortas|Tarjeta PCB de telemetro|paños microfibras
alcohol
wd40
aceite lubricante
spray especial para sistema óptico|Grasa ep2
wd40
alcohol
triflow
paños|loctite|potenciometro coarse
potenciometro fine|Tapete de identificación viales|paños microfibras
alcohol 70%
wd40
aceite triflow|paños microfibras
wd40
aceite triflow
aceite para caja de motor
alcohol 70%
baterias 12V cant 2
|panel Xvi|W40, paños de limpiezas, limpia contacto, etc |potenciometros coarse y check
movimiento lateral|GUN PSU
MAGNETRON TUNNING DRIVE ASSY|baterias 12V cant=2|N/A|KVM D-link|grasa ep2
wd40
paños multifibras

reponer wd40 para CAS|fusible 3.15A|n/a|ampolleta, foto en adjunto|No.Hay|NA|No hay|no aplica|FUSE 10A / 250V|paños y lubricante|410337 - projection lamp|Paños y lubricantes|Interruptor de último Hombre en mal estado.|Acrílico protector de viales|Resorte y sujetador dosificador|baterias 12v 7,2 ah|Batería de 12 VDC 7.2 AH|thyratron|Aire comprimido y sistemas de limpieza|No.|Disco Duro WesternDigital 1TB|no hay|monitor ea193MI-BK|Aire comprimido y carro de transporte|Aire comprimido|Trapos de limpieza de microfibra|Limpia contacto|Guantes de latex|Lubricante Triflow|Microswitch panel iviewGT|Cable de alimentación 220V PC Tipo C13|Microfono Treatment room|WAY BRUSH BLOCK SIGNAL|BRUSH TIP REPLACEMENT KIT|b|Bomba de condensado|placa madre y fuente de poder.|Generador SHFR 400",288,0,288,0,0,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,true
NOHAY,No hay|No hay.|no hay|No hay.|No Hay|NO HAY,"No hay|Brocha y aspiradora.|no hay|No hay.|Grasa. WD40. Paños de limpieza.|insumos WD40 y Limpia contacto y elementos de limpieza de optica.|Grasa EP2, aceite liviano y paños limpieza.|Limpiacontacto, paños de limpieza y grasa EP2.|No Hay.|Amarras plásticas.
Enchufes machos.
Huincha aisladora.|Grasa EP2. Aceite liviano. WD40.|- Grasa Ep2  - Paños de limpieza. - WD40. - Alcohol isopropilico.|Wd40. Paños de limpieza.|Fusible 3 Amperes|Grasa EP2|No hay
|Alcohol Isopropilico.

Paños de limpieza. |Grasa.  WD40.  Aceite de máquina.|No hay. 
|Repiza metálica de 60 x 23,5 Cm

Pack teclado y mouse. Marca Ultra.

Tornillos rosca. 

Tarugos de volcanita. 

Amarras plásticas.  

|Golilla segers. 
|Golilla segers|No hay. 
 |Puente de diodos KBPC5010. 
Transistores Phillips BU508V. 
Fusibles 2A 250V. |Aceite de lubricación.

Limpia contactos.

Paño de limpieza.

Grasa EP2.

|Grasa EP2. Paños de limoieza.|Limpia contactos.|WD40, limpia contactos y grasa EP2|WD40, limpia contactos y grasa EP2.|Cable coaxial de RF|Wd-40.  Grasa Ep2.  Limpia contactos.|Grasa EP2, limpiacontactos y paños de limpieza. |Grasa, limpia contactos, WD40. |Limpia contactos, WD40 y paños de limpieza. |Ampolleta halógena 12 V / 75 W.|na hay|No Hay|Caja de control desarrollada por empresa, semáforo y switches. |Caja de control desarrollada por empresa,  semáforo  y switches. |Grasa EP2, aceite liviano. |Grasa EP2, Paños de limpieza. |Grasa Ep2.|Grasa EP2, aceite liviano y paños de limpieza|Fusible rápido miniatura 4 amperes|No aplica|no aplica",169,0,169,0,0,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,true
1534958,1534958.|1534958,"Kit, spares leaf motor.|kit Spares Leaf motor|Leaf motor spare kit.|kit, spare, leaf MO|Kit, Soares, leaf MO|1 Nr Leaf Motor Spares Kit.|10 x Kit leaf motor screw and nut|kit motor|(8) Kit, Spares, Leaf Motors|Leaf Motor|kit motor spares|Kit, spares leaf motor|Kit, spares Leaf motor|(2) Kit, separes Leaf motor|kit, sapres, leaf motor cantidad 1|Leaf motor|Kit leaf motor Cant: 2|kik, spare, leaf motor cantidad 1|kit, spares, leaf motor cantidad = 1|kit spares leaf motor|(4) Kit, Leaf Spare Motor|kit, spares, leaf |MOTOR NUEZ Y TORNILLO|Leaf Motor spares kit (50)|Kit, Spares Leaf Motor|Kit Spare Leaf MO  Cant: 1|kit, spares, leaf motor|(03) Kit, Spare, Leaf Motor|kir, spare, leaf motor cantidad 2|KIT, spares, leaf motor |Kit Spare leaf Motor|Kit Spares, Leaf Motor|kit, spares, leaf|kit Spares, leaf motor|ki, spares, leaf motor|KIT, SPARES, LEAF MOTOR|KIT, SPARE, LEAF MOTOR DRIVE|Kit, spares, leaf motor|kit, spares leaf motor |kit, spare, leaf motor |kit spares, leaf motor |leaf motor|KET, SPARE, LEAF MOTOR|KIT, SPARES LEAF MO|kit, spares, leaf motor |KIT LEAF MOTOR|KIT, SPARE, LEAF MOTOR|kit spare leaf motor|Kit Leaf Motor|Kit Spares Leaf Motor|LEAF MOTOR SPARES KIT|KIT, SPARES, LEAF MO|Kit, Spare, Leaf Motor|KIT SPARE LEAF MOTOR|Kit Spares leaf|kit, spare leaf motor|KIT SPARES LEAF MOTOR DRIVE|spares, Leaf Motor, kit |Kit spare Leaf Motor|leaft motor kit|KIT, SPARES, LEAF MO (CO)",83,83,0,0,0,1534958,11034,MATCHED,REF_NORMALIZED_EXACT|REF_EXACT,false
SN,SN|s/n|sn|S/N,"NA|no hay|N/C|NC|nc|NO HAY|fusible.de 10.amp.|No aplica|teclado HP y mouse|NO APLICA|FUSIBLE DE RETARDO 10 AMP. 250 VAC.|Agua Bidestilada, 2 filtros de agua|N/A|Fusible de retardo 10 Amperes|fusible de 10 amp|Integrado IC 5V|fusible 10 amp. 250Volt|fusible D2 10A/320/ NR2 Diodos de Poder|baterias de 12 VDC|fusible 0,5 amp.|PCB TELEMETRO|UNIDAD DE CINTA|Tarjeta control ODI|Rodillo impresora|potenciometros|BOMBA CIRCUITO INTERNO DEL.LINAC|Grasa EP2, ACEITE 220|Chip controlador PCB ODI|No hay|Kit soporte de bolsas",65,0,65,0,0,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,true
NC,NC|nc|N/C|n/c,"NC|sin repuesto|Sin repuesto|nc|Alcohol toallas de.limpieza espuma de.limpieza, buzos de limpieza.|N/C|n/c|Low voltaje halogen lamp marca Philips de 13,8 V - 50W |Grasa Multiuso EP-2,alcohol isopropilico, wd-40, limpia contacto, paños de limpieza.|Wd-40 ; grasa multiuso, alcohol isopropilico, limpia contacto, paños de limpieza. |espera de repuesto|Grasa EP-2, wd-40, limpia contacto, paños de limpieza, alcohol isopropilico.|KVM, teclado, Mouse, cable Cat5 con conector rj45.|Se utiliza Grasa EP2, limpia Contacto.|Ampolleta  Halogena 12v 75w|Caja black box (02)
cables de conexiones  (02)
Monitor 22"" (01)
Teclado (01)
Mouse (01)|ampolleta Osram  de 12v 75w|n/C|Grasa EP-2, limpia contacto, wd-40|Limpia contacto, wd-40, grasa EP-2|kitsch upgrade monaco 5.51.10|fusible de 32V-10A|ampolleta de 12v|grasa ep-2, wd-40, limpia contactos, sprau de aire comprimido.|wd-40, spray de aire comprimido. grasa ep-2, limpia contactos|grasa ep-2
wd-40
aire comprimido 
limpia contacto",63,0,63,0,0,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,true
1564298,1564298,"(02) PCB Assy, DLG, Diaphragms|PCB DLG and DIAPHRAGM|pcb assy, DLG and Diaphragm  drive |pcb dlg/diafragmas cant 1|PCB Assy, DLG and Diaphragm|Diaphragm/DLG PCB|pcb assy, dlg, diaphragm|pcb assy, dlg and diaphragm|PCB dlg/diaphragm drive|PCB assy, DLG Diaphragm drive|DLG AND DIAPHRAGM DRIVE|pcb assy, dlg, diaphragm drive|PCB ASSY, DLG AND DIAPHRAGM|PCB ASSY, DLG AND DIAPHRAGM DRIVE|PCB assy DLG Diaphragm Drive|pcb assy, dlg and diaphragm |PCB ASSY, DLG AND DIAPHRAGM DRIVE |diaphragm / DLG PCB|PCB Assy, DLG and DIAPHRAGM Drive|PCB DLG Drive|PCB ASSYS, DLG AND DIAPHRAGM DRIVE|Diaphragm /DLG PCB|DLG / Diafragma PCB|PCB ASSY, DLG, DIAPHRAGM DRIVE",35,35,0,0,0,1564298,11039,MATCHED,REF_EXACT,false
1517657,1517657|1517657.,"Leaf Motor Drive Board de Banco Y12|2 PCB Leaf Motor Drive|PCB Drive motors.|PCB Assy, Leaf motor drive|1 Pc  leaf motor drive Y2|PCB leaf motor drive Cant: 2 NR| PCB Assy, Leaf Motor Drive|PCB assy leaf motor drive|PCB Assy, Leaf Motor Drive |PCB assy, Leaf Motor  cant 3|PCB ASSY, LEAF MOTOR DRIVE|PCB LEAF MOTOR DRIVE|PCB assy, Leaf Motor Drive|pcb assy, leaf motor drive|PCB ASSY,  LEAF MOTOR DRIVE|PCB assy Leaf Motor Drive|PCB, Assy, Leaf Motor Drive |PCB ASSY, LEAF MOTOR DRIVE |PCB, LEAF MOTOR DRIVE|pcb assy, Leaf Motor Drive|pcb assy leaf motor driver",28,28,0,0,0,1517657,10701,MATCHED,REF_EXACT|REF_NORMALIZED_EXACT,false
1502613,1502613,"Laser ODI|laser ODI lamp|mod kit, láser odi lamp|telemetro laser|Telemetro Laser|Mod Kit, Laser ODI Lamp|Mod Kit, Laser ODI Lamp |mod kit, laser odi lamp - cant =1|MOD KIT, LASER ODI LAMP|Láser ODI Spare KIT|Laser ODI Spares Kit|Spares Kit, distance meter|mod kit, láser ODI lámp |Spares Kit, distance|Distance Meter|mod kit, láser ODI lamp |spare kit, distance meter |MOD kit, Láser ODI Lámp|mot kit, laser ODI Lamp|láser ODI kit",26,26,0,0,0,1502613,10994,MATCHED,REF_EXACT,false
45133304800,4513 330 4800|45133304800,Electron Gun Assy|Gun assy|Electron Gun.  Número de serie 0247768.|ELECTRON GUN ASSY      (1)|Electron gun subassembly.|Gun Assy|Electrón Gun Assy|electron Gun Assy cantidad 1|electrón gun assy (cantidad 1)|ElectronGun Assy|Electron GUN Assy|electron gun assy|Electrón Gun Haz|Electron Gun|ELECTRON GUN ASSY|Electron GUN subassembly|SL ELECTRON GUN ASSY,23,23,0,0,0,45133304800,10375,MATCHED,REF_NORMALIZED_EXACT|REF_EXACT,false
