Cliente,Abreviación,Equipo,S-N,Año Instalación,Estado Contrato,SPA con Elekta,Lun - Vie,Sab - Dom,Soporte Elekta,Horarios de Atención,HW Refresh,UpDates,UpGrades,Situación Repuestos,Q Mant Prev x Año,Notas,,,,,,,Variables(no considerar para analisis)
Fundación Arturo López Pérez,FALP,Synergy,153038,ago-2015,Vigente (Ren. Automática) (E&G),Gold (Incluye todos los repuestos),Sí,Sí,Presencial y Remoto,24/7,Sólo si el nuevo SW lo requiere,Sí,Sí,Todo Incluído,6,,,,,,,,
UC Christus,UC-CECA,Axesse,153935,feb-2016,Vigente (Ren. Automática) (E&G),Gold (Incluye todos los repuestos),Sí,Sí,Remoto,24/7 (fuera de horario hábil solo fallas que impidan tratamiento de pacientes),No,Sólo SW,No,Todo Incluido,3,Estado operacional (fuente actualizada 2026-08-04): Operativo.,,,,,,,
UC Christus,UC-CECA,Infinity,109374,abr-2023,Garantía con Elekta,Garantía Elekta (Todo incluído),Sí,No,Remoto,Lun a Vie de 8:00 a 17:00 (mientras este vigente la garantia),No,Sólo SW,No,Todo Incluido,3,"2 años de garantía - termina en Abril/2025
-Gonzalo Hernán López Estay
Estado operacional (fuente actualizada 2026-08-04): Operativo.",,,,,,,
UC Christus,UC-SCA,VersaHD,109256,feb-2022,Vigente (Ren. Automática) (E&G),Gold (Incluye todos los repuestos),Sí,No,Remoto,24/7 (fuera de horario hábil solo fallas que impidan tratamiento de pacientes),No,Sólo SW,No,Todo Incluido,3,Estado operacional (fuente actualizada 2026-08-04): Operativo.,,,,,,,
Clínica Alemana de Santiago,CAS - Nor,Synergy,151673,2009,Desintalado,Desintalado,Sí,Sí,Remoto,24/7,No,Sólo SW,Sólo SW,Todo Incluido,3,"Equipo Desinstalado en Ago-2024
-Gonzalo Hernán López Estay
Estado operacional (fuente actualizada 2026-08-04): Desinstalado.",,,,,,,
Clínica Alemana de Santiago,CAS - Sur,Platform,152171,2010,Vigente (Ren. Automática) (E&G),Silver (Sólo Soporte),Sí,Sí,Remoto,24/7,No,Sólo SW,Sólo SW,Todo Incluído,3,Estado operacional (fuente actualizada 2026-08-04): Operativo.,,,,,,,Sí
Clinica Alemana de Santiago,CAS - Nor,VersaHD,109496,2025,Garantía con Elekta,Garantía Elekta (Todo incluído),Sí,No,,Lunes a Viernes de 08:00 a 17:00,,,,Todo Incluido,2,Estado operacional (fuente actualizada 2026-08-04): Operativo.,,,,,,,
Clinica Alemana de Santiago,CAS - Sur,VersaHD,,,,,,,,,,,,,2,,,,,,,,
Hospital Carlos Van Buren,HCVB,VersaHD,154325,2017,Vigente (Plazo Fijo) (E&G),Gold (Incluye todos los repuestos),Sí,No,Remoto,Días hábiles de 07:00 a 19:00 (No incluye fines de semana ni festivos),No,Sólo SW,No,Todo Incluido,2,Estado operacional (fuente actualizada 2026-08-04): Operativo.,,,,,,,No
Hospital Clínico de Magallanes,HCM,Platform,152280,2011,Equipo Desinstalado,Equipo Desinstalado,Sí,No,Remoto,Lun a Jue 8:00 a 17:00 - Vie 7:00 a 16:00 (Mant. fuera de horario),No,No,No,"Todos, Excepto Paneles, Magnetron y Thyratron",3,Estado operacional (fuente actualizada 2026-08-04): Desinstalado.,,,,,,,Sólo si el nuevo SW lo requiere
