equipment_internal_id,client_name,dolibarr_ref,dolibarr_label,previous_event_date,current_event_date,interval_days,interval_months,previous_fieldbeat_task_id,current_fieldbeat_task_id,event_count_for_machine_part,association_confidence_score,match_confidence,interval_confidence_score,interval_confidence_label,interval_confidence_factors,interval_status
Linac-153935,UC CHRISTUS - CECA,1017632_usado,PCB ASSY CAMERA CCU,2021-02-10T11:00:00.000Z,2021-10-08T10:30:00.000Z,240,7.88,957,1223,2,85,0.5,85,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-201073,CLÍNICA ALEMANA DE TEMUCO,923931518204,AMPOLLETA MLC TYPE 13289,,2018-10-26T12:00:00.000Z,,,,70,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
153038,FUNDACION ARTURO LOPEZ PEREZ,1026565,Temperature controller,,2018-10-10T19:30:00.000Z,,,,63,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
TPS-FALP,FUNDACION ARTURO LOPEZ PEREZ,653950,HP 146GB 15K 6G SFF SAS SC HDD,2018-11-24T11:00:00.000Z,2018-12-15T13:00:46.951Z,21,0.69,50,149,2,66,0.5,66,Media,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
TPS-FALP,FUNDACION ARTURO LOPEZ PEREZ,669324-B21,HP 8GB PC3-12800E DDR3-1600 ECC DIMM,,2018-11-24T11:00:00.000Z,,,,50,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-152280,SERVICIO DE SALUD DE MAGALLANES,45133327662,BEAM SPLITTER MIRROR ASSY,,2018-11-16T19:00:00.000Z,,,,45,1,85,0.5,85,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-201172,INRAD,45133318864,"RV8 xxx X,Y,ISO CHECK & COARSE",,2018-11-06T12:00:00.000Z,,,,95,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-151673,CLINICA ALEMANA DE SANTIAGO,1505720,"MV, DCB, PROGRAMED",,2018-10-24T20:15:53.923Z,,,,84,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-152171,CLINICA ALEMANA DE SANTIAGO,1023530,ARM CONTROL BOARD (ACB) - IViEWGT,,2018-09-28T19:00:00.000Z,,,,46,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),821321900352,"Fuse, 10A 32 VAC, time delay, glass cartridge 32 mm x 6.3mm (FS32E)",2018-09-02T17:00:00.000Z,2019-01-13T18:00:35.895Z,133,4.37,33,171,7,100,0.85,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
