fieldbeat_task_id,fieldbeat_task_date,client_key,client_rut,client_name,task_type,task_state,technician_names,equipment_internal_ids,linked_zendesk_ticket_id,zendesk_join_status,used_parts_count,matched_used_parts_count,placeholder_used_parts_count,unmatched_used_parts_count,ambiguous_used_parts_count,review_required_used_parts_count,dolibarr_refs,dolibarr_product_ids,used_part_numbers,used_part_names,part_match_statuses,part_match_methods,report_quality_status
943,2021-01-29T11:30:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,REQUERIMIENTO DEL CLIENTE,FINISHED,acorbea,APOTECA-CHEMO,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
944,2021-01-29T11:30:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA PROGRAMADA,FINISHED,acorbea,APOTECA-CHEMO,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
951,2021-01-25T11:30:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,CLÍNICA SANATORIO ALEMÁN (ONCORAD),CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,,NO_TICKET_REPORTED,1,1,0,0,0,1,107043,11724,"107043-11
107771-11","Computador TCS HP 5810 RP5
DVD instalación y Servicio Oncentra TCS",MATCHED,REF_LIKE,REVIEW_REQUIRED
952,2021-02-05T19:30:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA PROGRAMADA,FINISHED,jecheverria,,,NO_TICKET_REPORTED,1,0,1,0,0,1,,,SN,NA,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,HAS_PLACEHOLDERS
953,2021-02-03T11:30:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,CLÍNICA SANATORIO ALEMÁN (ONCORAD),CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,,NO_TICKET_REPORTED,6,4,0,2,0,2,1007545|1010495|45133327662|4513332766303F,11569|11570|11571|11567,1007545|451333326854|1010495|45133327662|4513332766303F|155579,"MLC reflector spares kit|Mout, mirror (mylar)|Camera mirror assemb|Beam Splitter mirror|proyector mirror Assy|Lens Ricoh FL-Bc1218A",MATCHED|NO_MATCH,REF_EXACT|NONE,HAS_UNMATCHED_PARTS
954,2021-02-07T19:30:00.000Z,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,61.607.901-8,SERVICIO DE SALUD DE MAGALLANES,PREVENTIVA PROGRAMADA,FINISHED,raguila,,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,"motores: 451333264430
tornillo: 8113024 2521_01",03 motores y 01 tornillo.,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
955,2021-02-09T17:30:00.000Z,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,61.607.901-8,SERVICIO DE SALUD DE MAGALLANES,CORRECTIVA PROGRAMADA,FINISHED,raguila,,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,1347987,pcb motor drive,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
956,2021-02-10T11:30:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,CLÍNICA SANATORIO ALEMÁN (ONCORAD),CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,,NO_TICKET_REPORTED,1,0,0,1,0,1,,,No hay,No hay,NO_MATCH,NONE,HAS_UNMATCHED_PARTS
957,2021-02-10T11:00:00.000Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,CORRECTIVA NO PROGRAMADA,FINISHED,acorbea,Linac-153935,,NO_TICKET_REPORTED,1,1,0,0,0,1,1017632_usado,11872,1017632,"pcb assy, camera CCU",MATCHED,REF_LIKE,REVIEW_REQUIRED
958,2021-02-11T11:40:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,CORRECTIVA NO PROGRAMADA,FINISHED,rguapache,LINAC-153038,,NO_TICKET_REPORTED,0,0,0,0,0,0,,,,,,,NO_USED_PARTS
