zendesk_ticket_id,subject,status,priority,has_fieldbeat_report,fieldbeat_report_count,has_multiple_fieldbeat_reports,fieldbeat_task_ids,first_fieldbeat_start_time,last_fieldbeat_start_time,fieldbeat_states,fieldbeat_types,fieldbeat_assignees,client_names,equipment_internal_ids,has_used_parts,used_parts_count,used_part_numbers,operational_join_status
7,Ticket de prueba: Correo electrónico de un cliente,closed,high,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
1,Ticket de muestra: le presentamos el ticket,closed,normal,true,1,false,2526,2024-06-19T12:30:00.000Z,2024-06-19T12:30:00.000Z,FINISHED,CORRECTIVA PROGRAMADA,acorbea,HOSPITAL EXEQUIEL GONZÁLEZ CORTÉS,Linac-01,true,1,completar solo por ingeniero de servicio.,SINGLE_FIELDBEAT_REPORT
48,LA PRUEBAS DEL MLC PARA EL AXESSE FALLA EN LOS CONTROLES,closed,normal,true,1,false,2348,2024-03-06T20:00:00.000Z,2024-03-06T20:00:00.000Z,FINISHED,CORRECTIVA PROGRAMADA,acorbea,UC CHRISTUS - CECA,Linac-153935,true,1,,SINGLE_FIELDBEAT_REPORT
51,"FCO (371-05-MSQ-073) - MOSAIQ® Partial Wedge Fields, CFS and Plan Re-Promotion",closed,normal,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
27,Problema con las láminas o optimización de energías,closed,low,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
46,En dosisoft el indice gamma esta fallando para el Acelerador Axesse,closed,high,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
57,2T EN EL INFINITY,closed,normal,true,1,false,2358,2024-03-12T22:00:00.000Z,2024-03-12T22:00:00.000Z,FINISHED,ASISTENCIA REMOTA,acorbea,UC CHRISTUS - CECA,Linac-109374,true,1,,SINGLE_FIELDBEAT_REPORT
39,El inifinity en varias oportunidad esta con problemas de Hump Err,closed,normal,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
63,FCO - 382-05-MON-055 - Agility MLC plans may be incorrectly calculated,closed,normal,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
60,En el Monaco01 hay problemas con importa imágenes desde la carpeta de escritorio,closed,high,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
67,Falla agendamiento de pacientes,closed,urgent,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
74,DOSE RATE MON,closed,normal,true,1,false,2378,2024-03-22T19:00:00.000Z,2024-03-22T19:00:00.000Z,FINISHED,CORRECTIVA PROGRAMADA,mabreu,UC CHRISTUS - SCA,Linac-109256,false,0,,SINGLE_FIELDBEAT_REPORT
85,Run Check Hexapod,closed,high,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
61,Configuración de ruta de exportacion de pacientes desde Mosaiq a Monaco,closed,urgent,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
69,TRM no funciona,closed,high,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
54,testing - tickets user,closed,normal,true,1,false,1888,2023-03-22T23:13:00.000Z,2023-03-22T23:13:00.000Z,FINISHED,PREVENTIVA PROGRAMADA,acorbea,ACME,153038,false,0,,SINGLE_FIELDBEAT_REPORT
83,Ticket #629166 Desconexión del DICOM NAMER,closed,normal,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
82,Ticket #397177 Reporte de evento emitido por el TCS Oncentra,closed,normal,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
97,Solicitud Cambio Hora Sistema Mosaiq,closed,high,true,1,false,2402,2024-04-11T14:05:00.000Z,2024-04-11T14:05:00.000Z,FINISHED,REQUERIMIENTO DEL CLIENTE,rcammalleri,INRAD,OIS-INRAD|Linac-201172,false,0,,SINGLE_FIELDBEAT_REPORT
77,Ticket #266989 Cotización disco duro IView,closed,normal,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
78,Ticket #509457 Panel de IView no se retrae,closed,high,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
40,El isocentro del Infinity no coincide con el 0 de la camilla esta desviado +2 mm,closed,normal,true,1,false,2426,2024-04-27T20:00:00.000Z,2024-04-27T20:00:00.000Z,FINISHED,CORRECTIVA PROGRAMADA,acorbea,UC CHRISTUS - CECA,Linac-109374,true,1,n/a,SINGLE_FIELDBEAT_REPORT
151,SIN ingreso a Citrix/Monaco,closed,high,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
156,falla rescate pacte cecilia troncoso,closed,normal,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
196,Revisión MOSAIQ,closed,,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
195,Revisión MOSAIQ,closed,,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
202,Interlock Gantry,closed,high,true,1,false,2488,2024-05-31T23:20:00.000Z,2024-05-31T23:20:00.000Z,FINISHED,CORRECTIVA NO PROGRAMADA,mabreu,UC CHRISTUS - SCA,Linac-109256,false,0,,SINGLE_FIELDBEAT_REPORT
240,No se puede ingresar a MONACO 1 y 2,closed,urgent,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
219,Perdida conexión servidor de cálculo,closed,,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
235,Revisión Conexión Tablet Láseres Gammex,closed,normal,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
271,XVI FAULT 16,closed,urgent,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
289,Axesse - FCO 200-02-103-085-Uncontrolled Xvi ViewGT Arm Extension Modification,closed,normal,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
314,Monitor TPS1 no recibe señal,closed,,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
260,RV: Elekta Case #03591903 - MONACO electron plan problem    [ ref:!00D600IYoG.!5006g016CMtf:ref ],closed,,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
297,No inició correctamente el acelerador,closed,,true,1,false,2558,2024-07-15T13:00:00.000Z,2024-07-15T13:00:00.000Z,FINISHED,CORRECTIVA NO PROGRAMADA,raguila,SERVICIO DE SALUD DE MAGALLANES,,true,1,no hay,SINGLE_FIELDBEAT_REPORT
291,Crear nuevo Usuario para citrixx,closed,,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
245,Falla de chiller,closed,,false,0,false,,,,,,,,,false,0,,NO_FIELDBEAT_REPORT
