bridge_id,zendesk_ticket_id,fieldbeat_task_id,link_method,confidence,task_type,state,priority,description,client_name,assigned_to,created_at,updated_at,start_time,duration_minutes,equipment_internal_ids,used_parts_count,used_part_numbers
1|2526,1,2526,fieldbeat_report_ticket_number,1,CORRECTIVA PROGRAMADA,FINISHED,2,Plantilla Cliente correctiva programada,HOSPITAL EXEQUIEL GONZÁLEZ CORTÉS,acorbea,2024-06-21T14:14:09.520Z,2024-06-21T14:18:32.719Z,2024-06-19T12:30:00.000Z,120,Linac-01,1,completar solo por ingeniero de servicio.
202|2488,202,2488,fieldbeat_report_ticket_number,1,CORRECTIVA NO PROGRAMADA,FINISHED,3,Interlock reportado (Gantry),UC CHRISTUS - SCA,mabreu,2024-05-31T23:21:53.073Z,2024-05-31T23:38:27.440Z,2024-05-31T23:20:00.000Z,120,Linac-109256,0,
48|2348,48,2348,fieldbeat_report_ticket_number,1,CORRECTIVA PROGRAMADA,FINISHED,2,LA PRUEBAS DEL MLC PARA EL AXESSE FALLA EN LOS CONTROLES,UC CHRISTUS - CECA,acorbea,2024-03-06T22:56:34.172Z,2024-03-06T23:09:56.652Z,2024-03-06T20:00:00.000Z,120,Linac-153935,1,
57|2358,57,2358,fieldbeat_report_ticket_number,1,ASISTENCIA REMOTA,FINISHED,2,"Atención por 2t, hump error para 6mv - infinity",UC CHRISTUS - CECA,acorbea,2024-03-12T22:28:33.835Z,2024-03-12T22:35:00.286Z,2024-03-12T22:00:00.000Z,15,Linac-109374,1,
74|2378,74,2378,fieldbeat_report_ticket_number,1,CORRECTIVA PROGRAMADA,FINISHED,2,Optimización de energía 6FFF,UC CHRISTUS - SCA,mabreu,2024-03-22T19:09:38.533Z,2024-03-22T19:17:27.290Z,2024-03-22T19:00:00.000Z,120,Linac-109256,0,
54|1888,54,1888,fieldbeat_report_ticket_number,1,PREVENTIVA PROGRAMADA,FINISHED,2,test de visualización de checklist,ACME,acorbea,2023-03-22T23:14:55.918Z,2023-03-22T23:40:07.552Z,2023-03-22T23:13:00.000Z,240,153038,0,
97|2402,97,2402,fieldbeat_report_ticket_number,1,REQUERIMIENTO DEL CLIENTE,FINISHED,2,Cambionde hora en plataforma Elekta,INRAD,rcammalleri,2024-04-11T14:40:46.156Z,2024-04-11T16:17:43.644Z,2024-04-11T14:05:00.000Z,60,OIS-INRAD|Linac-201172,0,
40|2426,40,2426,fieldbeat_report_ticket_number,1,CORRECTIVA PROGRAMADA,FINISHED,2,Atención de varios casos en Infinity,UC CHRISTUS - CECA,acorbea,2024-04-27T21:47:02.464Z,2024-04-27T23:18:44.102Z,2024-04-27T20:00:00.000Z,120,Linac-109374,1,n/a
297|2558,297,2558,fieldbeat_report_ticket_number,1,CORRECTIVA NO PROGRAMADA,FINISHED,2,equipo no inicia correctamente,SERVICIO DE SALUD DE MAGALLANES,raguila,2024-07-15T17:59:57.051Z,2024-08-14T10:43:44.847Z,2024-07-15T13:00:00.000Z,120,,1,no hay
348|2573,348,2573,fieldbeat_report_ticket_number,1,CORRECTIVA PROGRAMADA,FINISHED,2,"se realiza el cambio de motor, tornillo y nuez del motor Y1-37 ",FUNDACION ARTURO LOPEZ PEREZ,ccarrasquel,2024-07-26T17:47:47.072Z,2024-07-26T18:11:41.996Z,2024-07-26T17:47:00.000Z,120,LINAC-153038,1,1534958
