used_part_id,fieldbeat_task_id,zendesk_ticket_id,part_name,raw_part_identifier,normalized_part_identifier,dolibarr_product_id,dolibarr_ref,dolibarr_barcode,dolibarr_label,match_method,match_confidence,match_status,needs_manual_review,candidate_dolibarr_product_ids
"951|2|0|107043-11
107771-11",951,,"Computador TCS HP 5810 RP5
DVD instalación y Servicio Oncentra TCS","107043-11
107771-11",1070431110777111,11724,107043,,TCS computer HP RP5800 series,REF_LIKE,0.5,MATCHED,true,
952|2|0|SN,952,,NA,SN,SN,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
953|2|0|1007545,953,,MLC reflector spares kit,1007545,1007545,11569,1007545,,MLC REFLECTOR SPARES KIT,REF_EXACT,1,MATCHED,false,
953|2|1|451333326854,953,,"Mout, mirror (mylar)",451333326854,451333326854,,,,,NONE,0,NO_MATCH,true,
953|2|2|1010495,953,,Camera mirror assemb,1010495,1010495,11570,1010495,,CAMERA MIRROR ASSEMBLY,REF_EXACT,1,MATCHED,false,
953|2|3|45133327662,953,,Beam Splitter mirror,45133327662,45133327662,11571,45133327662,,BEAM SPLITTER MIRROR ASSY,REF_EXACT,1,MATCHED,false,
953|2|4|4513332766303F,953,,proyector mirror Assy,4513332766303F,4513332766303F,11567,4513332766303F,,PROJECTOR MIRROR ASSY,REF_EXACT,1,MATCHED,false,
953|2|5|155579,953,,Lens Ricoh FL-Bc1218A,155579,155579,,,,,NONE,0,NO_MATCH,true,
"954|2|0|motores: 451333264430
tornillo: 8113024 2521_01",954,,03 motores y 01 tornillo.,"motores: 451333264430
tornillo: 8113024 2521_01",MOTORES451333264430TORNILLO8113024252101,,,,,NONE,0,NO_MATCH,true,
955|2|0|1347987,955,,pcb motor drive,1347987,1347987,,,,,NONE,0,NO_MATCH,true,
956|2|0|No hay,956,,No hay,No hay,NOHAY,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
957|2|0|1017632,957,,"pcb assy, camera CCU",1017632,1017632,11872,1017632_usado,,PCB ASSY CAMERA CCU,REF_LIKE,0.5,MATCHED,true,
960|2|0|NA,960,,NA,NA,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
96|2|0|s/n,96,,no hay,s/n,SN,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
94|2|0|1018268,94,,"FRU MOTOR BRUSH SET (ELECTROCRAFT).
",1018268,1018268,,,,,NONE,0,NO_MATCH,true,
92|2|0|sin numero,92,,no hay,sin numero,SINNUMERO,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
90|2|0|No hay.,90,,Brocha y aspiradora.,No hay.,NOHAY,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
89|2|0|No hay,89,,No hay,No hay,NOHAY,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
87|2|0|1016474,87,,1 Freno DLG,1016474,1016474,11873,1016474_usado,,"KIT, SPARES, DLG BRAKE",REF_LIKE,0.5,MATCHED,true,
85|2|0|N/A,85,,N/C,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
81|2|0|,81,,DLG PCB  SN 1538489 / 1 Tornillo-Nuez-Motor Agility Banco Y2,,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
8|2|0|no hay,8,,no hay,no hay,NOHAY,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
78|2|0|45133308530,78,,Magnetron MG6370E.  Serie 18088055,45133308530,45133308530,11007,45133308530,,"New fast tune magnetron, MG6370",REF_EXACT,1,MATCHED,false,
76|2|0|,76,,Fusible de retardo de 10 amp.,,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
74|2|0|Sin numero,74,,Conector Rs,Sin numero,SINNUMERO,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
72|2|0|No hay,72,,No hay,No hay,NOHAY,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
70|2|0|9239 315 18204,70,,"Ampolleta PHILLIPS 13,8V50W.  GX5.3.    N/P. 13289.",9239 315 18204,923931518204,11448,923931518204,,AMPOLLETA MLC TYPE 13289,REF_NORMALIZED_EXACT,0.85,MATCHED,false,
67|2|0|No hay.,67,,No hay.,No hay.,NOHAY,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
63|2|0|1026565,63,,Temp Controller NSerie 900658090004,1026565,1026565,11028,1026565,,Temperature controller,REF_EXACT,1,MATCHED,false,
61|2|0|N/A,61,,N/A,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
6|2|0|None,6,,None,None,NONE,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
56|2|0|No hay,56,,No hay,No hay,NOHAY,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
54|2|0|8213-219-00352,54,,Fuse 10A - 250V,8213-219-00352,821321900352,11061,821321900352,,"Fuse, 10A 32 VAC, time delay, glass cartridge 32 mm x 6.3mm (FS32E)",REF_NORMALIZED_EXACT,0.85,MATCHED,false,
50|3|0|653950-001,50,,Disco HP 146GB 15K 6G SFF DÍAS x1,653950-001,653950001,11296,653950,,HP 146GB 15K 6G SFF SAS SC HDD,REF_LIKE,0.5,MATCHED,true,
50|2|0|669324-B21,50,,Memoria HP 8GB PC3-12600 DDR3 ECC x64,669324-B21,669324B21,11303,669324-B21,,HP 8GB PC3-12800E DDR3-1600 ECC DIMM,REF_EXACT,1,MATCHED,false,
"45|3|0|4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412",45,,"Mirror Assembly
Beam Spitter Mirror Assy
Beam Spitter Mirror
Fine Pot 20K ","4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412",45143326854451333276624513332766245133164412,11571,45133327662,,BEAM SPLITTER MIRROR ASSY,REF_LIKE,0.5,MATCHED,true,
41|2|0|,41,,"Sesión Webex
",,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
4|2|0|cafe 2335689,4,,Escobas huaipe,cafe 2335689,CAFE2335689,,,,,NONE,0,NO_MATCH,true,
38|2|0|N/A,38,,N/A,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
