identity_id,dolibarr_product_id,identity_type,identity_value,identity_value_normalized,dolibarr_ref,dolibarr_barcode,dolibarr_label,extracted_at
11958|REF|00031601_C,11958,REF,00031601_C,00031601C,00031601_C,,Dose Calibrator SCINTIDOSE,2026-08-03T04:54:39.696Z
11958|ID|11958,11958,ID,11958,11958,00031601_C,,Dose Calibrator SCINTIDOSE,2026-08-03T04:54:39.696Z
10779|REF|0007536-0001,10779,REF,0007536-0001,00075360001,0007536-0001,,CARINAiso,2026-08-03T04:54:39.696Z
10779|ID|10779,10779,ID,10779,10779,0007536-0001,,CARINAiso,2026-08-03T04:54:39.696Z
10778|REF|0007536-0002,10778,REF,0007536-0002,00075360002,0007536-0002,,CARINAsim,2026-08-03T04:54:39.696Z
10778|ID|10778,10778,ID,10778,10778,0007536-0002,,CARINAsim,2026-08-03T04:54:39.696Z
10780|REF|0007536-0004,10780,REF,0007536-0004,00075360004,0007536-0004,,CARINAnav,2026-08-03T04:54:39.696Z
10780|ID|10780,10780,ID,10780,10780,0007536-0004,,CARINAnav,2026-08-03T04:54:39.696Z
10840|REF|0007536-0004N,10840,REF,0007536-0004N,00075360004N,0007536-0004N,,CARINAnav DORADOnova,2026-08-03T04:54:39.696Z
10840|ID|10840,10840,ID,10840,10840,0007536-0004N,,CARINAnav DORADOnova,2026-08-03T04:54:39.696Z
10783|REF|0007563-0003P,10783,REF,0007563-0003P,00075630003P,0007563-0003P,,DORADO 3 RED Post,2026-08-03T04:54:39.696Z
10783|ID|10783,10783,ID,10783,10783,0007563-0003P,,DORADO 3 RED Post,2026-08-03T04:54:39.696Z
10782|REF|0007563-0003W,10782,REF,0007563-0003W,00075630003W,0007563-0003W,,DORADO 3 RED Wall,2026-08-03T04:54:39.696Z
10782|ID|10782,10782,ID,10782,10782,0007563-0003W,,DORADO 3 RED Wall,2026-08-03T04:54:39.696Z
10838|REF|0012206-0004W,10838,REF,0012206-0004W,00122060004W,0012206-0004W,,DORADOnova 3 red wall,2026-08-03T04:54:39.696Z
10838|ID|10838,10838,ID,10838,10838,0012206-0004W,,DORADOnova 3 red wall,2026-08-03T04:54:39.696Z
12|REF|0012206-0005,12,REF,0012206-0005,00122060005,0012206-0005,,DORADOnova 3 GREEN Wall,2026-08-03T04:54:39.696Z
12|ID|12,12,ID,12,12,0012206-0005,,DORADOnova 3 GREEN Wall,2026-08-03T04:54:39.696Z
10777|REF|0012206-0005P,10777,REF,0012206-0005P,00122060005P,0012206-0005P,,DORADOnova 3 GREEN Post,2026-08-03T04:54:39.696Z
10777|ID|10777,10777,ID,10777,10777,0012206-0005P,,DORADOnova 3 GREEN Post,2026-08-03T04:54:39.696Z
10839|REF|0012206-0007,10839,REF,0012206-0007,00122060007,0012206-0007,,DORADOnova 5 red,2026-08-03T04:54:39.696Z
10839|ID|10839,10839,ID,10839,10839,0012206-0007,,DORADOnova 5 red,2026-08-03T04:54:39.696Z
10853|REF|0013978-0001W,10853,REF,0013978-0001W,00139780001W,0013978-0001W,,RED DORADO 1 Laser Marking System Wall Mount,2026-08-03T04:54:39.696Z
10853|ID|10853,10853,ID,10853,10853,0013978-0001W,,RED DORADO 1 Laser Marking System Wall Mount,2026-08-03T04:54:39.696Z
10855|REF|0014622-0001,10855,REF,0014622-0001,00146220001,0014622-0001,,AS-KR RED ASTOR Crosshair Laser,2026-08-03T04:54:39.696Z
10855|ID|10855,10855,ID,10855,10855,0014622-0001,,AS-KR RED ASTOR Crosshair Laser,2026-08-03T04:54:39.696Z
