report_field_id,fieldbeat_task_id,group_name,group_index,group_copy_of,is_group_copy,field_name,field_index,field_type,field_value,field_comment,mandatory,possible_values,etag,extracted_at
943|ENTREGA|3|OBSERVACIONES|5,943,ENTREGA,3,,false,OBSERVACIONES,5,TEXT,,,false,,"W/""datetime'2021-02-13T14:01:43.6176385Z'""",2026-08-03T22:08:29.382Z
943|ENTREGA|3|HABILITADO PARA USO CLINICO|4,943,ENTREGA,3,,false,HABILITADO PARA USO CLINICO,4,BOOLEAN,Si,,false,,"W/""datetime'2021-02-13T14:01:43.8328833Z'""",2026-08-03T22:08:29.382Z
943|ENTREGA|3|FECHA ESTIMADA DE PROXIMA INTERVENCION|3,943,ENTREGA,3,,false,FECHA ESTIMADA DE PROXIMA INTERVENCION,3,DATE,,,true,,"W/""datetime'2021-02-13T14:01:43.6195841Z'""",2026-08-03T22:08:29.382Z
943|ENTREGA|3|FECHA Y HORA DE ENTREGA|2,943,ENTREGA,3,,false,FECHA Y HORA DE ENTREGA,2,DATETIME,29/01/2021 11:40,,true,,"W/""datetime'2021-02-13T14:01:43.8347265Z'""",2026-08-03T22:08:29.382Z
943|ENTREGA|3|INTERVENCION FINALIZADA|1,943,ENTREGA,3,,false,INTERVENCION FINALIZADA,1,BOOLEAN,Si,,true,,"W/""datetime'2021-02-13T14:01:43.6214273Z'""",2026-08-03T22:08:29.382Z
943|REPUESTOS|2|NUMERO DE PARTE|2,943,REPUESTOS,2,,false,NUMERO DE PARTE,2,TEXT,,,false,,"W/""datetime'2021-02-13T14:01:43.8364673Z'""",2026-08-03T22:08:29.382Z
943|REPUESTOS|2|NOMBRE DEL REPUESTO O INSUMO UTILIZADO|1,943,REPUESTOS,2,,false,NOMBRE DEL REPUESTO O INSUMO UTILIZADO,1,TEXT,,,false,,"W/""datetime'2021-02-13T14:01:43.6230657Z'""",2026-08-03T22:08:29.382Z
943|DESCRIPCIÓN DE LA INTERVENCIÓN|1|OBSERVACIONES DEL TRABAJO|7,943,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,OBSERVACIONES DEL TRABAJO,7,TEXT,,,false,,"W/""datetime'2021-02-13T14:01:43.8381057Z'""",2026-08-03T22:08:29.382Z
943|DESCRIPCIÓN DE LA INTERVENCIÓN|1|COMENTE EL DESPERFECTO|6,943,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,COMENTE EL DESPERFECTO,6,TEXT,,,false,,"W/""datetime'2021-02-13T14:01:43.6248065Z'""",2026-08-03T22:08:29.382Z
943|DESCRIPCIÓN DE LA INTERVENCIÓN|1|DESPERFECTO AFECTA A|5,943,DESCRIPCIÓN DE LA INTERVENCIÓN,1,,false,DESPERFECTO AFECTA A,5,MULTIPLE,Base de Datos de Preparaciones,,true,"Carga de Componentes,Elaboración de Preparaciones,Sistema de Ventilación,Sistema de Enfriamiento,Temperatura de Máquina,Base de Datos de Preparaciones,Otro","W/""datetime'2021-02-13T14:01:43.8398465Z'""",2026-08-03T22:08:29.382Z
