task_equipment_id,fieldbeat_task_id,equipment_uuid,equipment_internal_id,extracted_at
943|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,943,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
944|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,944,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
957|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,957,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
958|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,958,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
960|99471dac-02f2-4be3-b6cd-0ca2f0f1d383|APOTECA-PS,960,99471dac-02f2-4be3-b6cd-0ca2f0f1d383,APOTECA-PS,2026-07-27T07:34:27.482Z
961|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,961,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
96|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,96,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
94|dc36d94e-e0b1-470d-9000-bc8566f22d87|Linac-201110,94,dc36d94e-e0b1-470d-9000-bc8566f22d87,Linac-201110,2026-07-27T07:34:27.482Z
92||153038,92,,153038,2026-07-27T07:34:27.482Z
90|a42edbe1-2603-4ba4-b22f-35b213087dc1|Linac-154325,90,a42edbe1-2603-4ba4-b22f-35b213087dc1,Linac-154325,2026-07-27T07:34:27.482Z
89|733e2e48-14b8-404a-bba4-9a7bab024c64|153038,89,733e2e48-14b8-404a-bba4-9a7bab024c64,153038,2026-07-27T07:34:27.482Z
85|db404b6d-d8df-4035-a2fc-0c17c30cee82|Linac-105277,85,db404b6d-d8df-4035-a2fc-0c17c30cee82,Linac-105277,2026-07-27T07:34:27.482Z
83||Linac-153038,83,,Linac-153038,2026-07-27T07:34:27.482Z
81|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,81,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
8|dbe9605b-e77d-48dc-b6bf-412f8857866e|2286,8,dbe9605b-e77d-48dc-b6bf-412f8857866e,2286,2026-07-27T07:34:27.482Z
76||153038,76,,153038,2026-07-27T07:34:27.482Z
74|a42edbe1-2603-4ba4-b22f-35b213087dc1|Linac-154325,74,a42edbe1-2603-4ba4-b22f-35b213087dc1,Linac-154325,2026-07-27T07:34:27.482Z
72|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,72,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
70|8aedc5fd-0ea3-46ad-997c-25716de85bf8|Linac-201073,70,8aedc5fd-0ea3-46ad-997c-25716de85bf8,Linac-201073,2026-07-27T07:34:27.482Z
69||TPS-HCVB,69,,TPS-HCVB,2026-07-27T07:34:27.482Z
67|79344240-59be-4d93-a69a-0f5618066558|Linac-201172,67,79344240-59be-4d93-a69a-0f5618066558,Linac-201172,2026-07-27T07:34:27.482Z
63||153038,63,,153038,2026-07-27T07:34:27.482Z
61||Linac-152171,61,,Linac-152171,2026-07-27T07:34:27.482Z
6|dbe9605b-e77d-48dc-b6bf-412f8857866e|2286,6,dbe9605b-e77d-48dc-b6bf-412f8857866e,2286,2026-07-27T07:34:27.482Z
58||153038,58,,153038,2026-07-27T07:34:27.482Z
56|a42edbe1-2603-4ba4-b22f-35b213087dc1|Linac-154325,56,a42edbe1-2603-4ba4-b22f-35b213087dc1,Linac-154325,2026-07-27T07:34:27.482Z
50||TPS-FALP,50,,TPS-FALP,2026-07-27T07:34:27.482Z
49||LIAC-FALP,49,,LIAC-FALP,2026-07-27T07:34:27.482Z
47|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,47,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
45|c67ffc1d-0363-43ac-b80c-43911a8b53eb|Linac-152280,45,c67ffc1d-0363-43ac-b80c-43911a8b53eb,Linac-152280,2026-07-27T07:34:27.482Z
43||153038,43,,153038,2026-07-27T07:34:27.482Z
4|dbe9605b-e77d-48dc-b6bf-412f8857866e|2286,4,dbe9605b-e77d-48dc-b6bf-412f8857866e,2286,2026-07-27T07:34:27.482Z
