fieldbeat_task_id,linked_zendesk_ticket_id,task_type,priority,state,description,client_key,assigned_to,created_by,created_at,updated_at,start_time,duration_minutes,last_transition_at,finished_data_synced_at,created_in,extracted_at
943,,REQUERIMIENTO DEL CLIENTE,2,FINISHED,Toma de datos para nuevos viales #986744,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,acorbea,TOKEN|eyg:rcammalleri:WORKER,2021-01-29T14:31:52.827Z,2021-01-29T15:03:00.856Z,2021-01-29T11:30:00.000Z,60,2021-01-29T15:02:51.362Z,,APK,2026-08-06T07:59:39.429Z
944,,CORRECTIVA PROGRAMADA,2,FINISHED,Remplazo e instalación de base para Jeringa 50ml Sector 6 carrusel Apoteca Chemo #337657,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,acorbea,TOKEN|eyg:rcammalleri:WORKER,2021-01-29T14:33:49.374Z,2021-01-29T15:00:42.086Z,2021-01-29T11:30:00.000Z,120,2021-01-29T14:59:00.849Z,,APK,2026-08-06T07:59:39.429Z
951,,CORRECTIVA NO PROGRAMADA,2,FINISHED,Reemplazo PC TCS equipo braquiterapia Microselectron,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),ebecker,TOKEN|eyg:ebecker:WORKER,2021-02-04T17:56:03.735Z,2021-02-05T18:32:24.946Z,2021-01-25T11:30:00.000Z,120,2021-02-05T18:32:16.841Z,,APK,2026-08-06T07:59:39.429Z
952,,CORRECTIVA PROGRAMADA,2,FINISHED,Ajuste de Tasa de Energias ticket asociado #133274,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),jecheverria,TOKEN|eyg:jecheverria:WORKER,2021-02-05T20:39:50.992Z,2021-02-05T20:43:48.889Z,2021-02-05T19:30:00.000Z,120,2021-02-05T20:43:43.823Z,,APK,2026-08-06T07:59:39.429Z
953,,CORRECTIVA NO PROGRAMADA,2,FINISHED,FALLA DE MLC,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),ebecker,TOKEN|eyg:ebecker:WORKER,2021-02-06T17:10:04.916Z,2021-02-06T20:56:14.668Z,2021-02-03T11:30:00.000Z,120,2021-02-06T20:56:08.385Z,,APK,2026-08-06T07:59:39.429Z
954,,PREVENTIVA PROGRAMADA,2,FINISHED,interlocutor Leaves nota ready y2,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,raguila,TOKEN|eyg:raguila:WORKER,2021-02-07T22:02:28.184Z,2021-02-07T22:29:48.440Z,2021-02-07T19:30:00.000Z,240,2021-02-07T22:17:46.135Z,,APK,2026-08-06T07:59:39.429Z
955,,CORRECTIVA PROGRAMADA,2,FINISHED,Intermitencia en Linac Leaves not ready Y2,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,raguila,TOKEN|eyg:raguila:WORKER,2021-02-10T12:03:18.819Z,2021-02-10T12:17:35.737Z,2021-02-09T17:30:00.000Z,120,2021-02-10T12:15:00.544Z,,APK,2026-08-06T07:59:39.429Z
956,,CORRECTIVA NO PROGRAMADA,2,FINISHED,Falla Manilla Iview,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),ebecker,TOKEN|eyg:ebecker:WORKER,2021-02-10T12:19:55.655Z,2021-02-10T12:44:46.934Z,2021-02-10T11:30:00.000Z,120,2021-02-10T12:43:54.423Z,,APK,2026-08-06T07:59:39.429Z
957,,CORRECTIVA NO PROGRAMADA,2,FINISHED,ticket #596546 - Falla MLC / Equipo Detenido] de Centro Cáncer UC-Christus,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,acorbea,TOKEN|eyg:acorbea:WORKER,2021-02-10T13:59:38.289Z,2021-02-10T14:42:36.944Z,2021-02-10T11:00:00.000Z,120,2021-02-10T14:42:30.238Z,,APK,2026-08-06T07:59:39.429Z
958,,CORRECTIVA NO PROGRAMADA,2,FINISHED,Problemas de perfiles en energias de 6Mv y 10Mv,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,rguapache,TOKEN|eyg:rguapache:WORKER,2021-02-11T13:34:09.304Z,2021-02-11T16:11:46.596Z,2021-02-11T11:40:00.000Z,120,2021-02-11T16:11:37.234Z,,APK,2026-08-06T07:59:39.429Z
959,,INSTALACION - INTEGRACION,2,ARCHIVED,Cambiar conexion de PS3 de UPI a cable de RED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,,TOKEN|eyg:jecheverria:WORKER,2021-02-12T21:50:35.616Z,2022-05-19T15:50:01.252Z,2021-02-12T06:00:00.000Z,240,2022-05-19T15:50:01.384Z,,APK,2026-08-06T07:59:39.429Z
