used_part_id,fieldbeat_task_id,zendesk_ticket_id,part_number,part_name,quantity,raw_original_part_number,raw_original_part_name,origin_location,photo_ref,dolibarr_product_id,dolibarr_ref,unit_cost,estimated_total_cost,needs_manual_review,extracted_at
"951|2|0|107043-11
107771-11",951,,"107043-11
107771-11","Computador TCS HP 5810 RP5
DVD instalación y Servicio Oncentra TCS",,"107043-11
107771-11","Computador TCS HP 5810 RP5
DVD instalación y Servicio Oncentra TCS",,,,"107043-11
107771-11",,,false,2026-07-01T18:10:26.296Z
952|2|0|SN,952,,SN,NA,,SN,NA,,,,SN,,,false,2026-07-01T18:10:26.296Z
953|2|0|1007545,953,,1007545,MLC reflector spares kit,,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,1007545,,,false,2026-07-01T18:10:26.296Z
953|2|1|451333326854,953,,451333326854,"Mout, mirror (mylar)",,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,451333326854,,,false,2026-07-01T18:10:26.296Z
953|2|2|1010495,953,,1010495,Camera mirror assemb,,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,1010495,,,false,2026-07-01T18:10:26.296Z
953|2|3|45133327662,953,,45133327662,Beam Splitter mirror,,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,45133327662,,,false,2026-07-01T18:10:26.296Z
953|2|4|4513332766303F,953,,4513332766303F,proyector mirror Assy,,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,4513332766303F,,,false,2026-07-01T18:10:26.296Z
953|2|5|155579,953,,155579,Lens Ricoh FL-Bc1218A,,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,155579,,,false,2026-07-01T18:10:26.296Z
"954|2|0|motores: 451333264430
tornillo: 8113024 2521_01",954,,"motores: 451333264430
tornillo: 8113024 2521_01",03 motores y 01 tornillo.,,"motores: 451333264430
tornillo: 8113024 2521_01",03 motores y 01 tornillo.,,,,"motores: 451333264430
tornillo: 8113024 2521_01",,,false,2026-07-01T18:10:26.296Z
955|2|0|1347987,955,,1347987,pcb motor drive,,1347987,pcb motor drive,,,,1347987,,,false,2026-07-01T18:10:26.296Z
