client_key,client_name,rut,fieldbeat_client_name,address_raw,city,commune,country,latitude,longitude,updated_at
FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,70377400-8,FUNDACION ARTURO LOPEZ PEREZ,"José Manuel Infante 805, Providencia",Santiago,Providencia,Chile,-33.438563,-70.6217875,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),76.746.730-3,CLÍNICA SANATORIO ALEMÁN (ONCORAD),"Arturo Junge 75, Concepción",Concepcion,Concepción,Chile,-36.8437568,-73.05158109999999,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),HOSPITAL CARLOS VAN BUREN (SSVSA),61.606.500-9,HOSPITAL CARLOS VAN BUREN (SSVSA),"Hontaneda 2560, Valparaíso",Valparaiso,Valparaíso,Chile,-33.0519449,-71.6092354,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,SERVICIO DE SALUD DE MAGALLANES,61.607.901-8,SERVICIO DE SALUD DE MAGALLANES,"Los Flamencos 1364, Punta Arenas",Región de Magallanes y de la Antártica Chilena,Punta Arenas,Chile,-53.12386249999999,-70.8960479,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,UC CHRISTUS - CECA,81.698.900-0,UC CHRISTUS - CECA,"Diagonal Paraguay 319, Santiago",Santiago,Santiago,Chile,-33.4431734,-70.63907130000001,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||ACME,ACME,,ACME,"Libertador Bernardo O'Higgins 540, Rancagua",Cachapoal,Rancagua,Chile,-34.1655365,-70.7418009,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||UC CHRISTUS - CECA,UC CHRISTUS - CECA,,UC CHRISTUS - CECA,,,,,,,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|76.105.383-3|TORRE MÉDICA - RANCAGUA,TORRE MÉDICA - RANCAGUA,76.105.383-3,TORRE MÉDICA - RANCAGUA,"Bombero Villalobos 1049, Rancagua",Cachapoal,Rancagua,Chile,-34.1860804,-70.7222155,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,,FUNDACION ARTURO LOPEZ PEREZ,,,,,,,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|76089058-8|EYG MEDICAL SYSTEMS LTDA.,EYG MEDICAL SYSTEMS LTDA.,76089058-8,EYG MEDICAL SYSTEMS LTDA.,"Providencia 2286, Providencia",Santiago,Providencia,Chile,-33.4208476,-70.6085094,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,CLINICA ALEMANA DE SANTIAGO,96.770.100-9,CLINICA ALEMANA DE SANTIAGO,"Av Vitacura 5951, Vitacura",Santiago,Vitacura,Chile,-33.3923648,-70.5729592,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|96.606.750-0|CLÍNICA ALEMANA DE TEMUCO,CLÍNICA ALEMANA DE TEMUCO,96.606.750-0,CLÍNICA ALEMANA DE TEMUCO,"Senador Estébanez 645, Temuco",Cautín,Temuco,Chile,-38.736576,-72.610829,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|96.757.430-9|INRAD,INRAD,96.757.430-9,INRAD,"Dublé Almeyda 3840, Ñuñoa",Santiago,Ñuñoa,Chile,-33.4569497,-70.5892399,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|61.605.000-1|INSTITUTO DE SALUD PUBLICA (ISP),INSTITUTO DE SALUD PUBLICA (ISP),61.605.000-1,INSTITUTO DE SALUD PUBLICA (ISP),"Avenida Marathon 1000, Ñuñoa",Santiago,Ñuñoa,Chile,-33.4632885,-70.61602049999999,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||CLINICA ALEMANA DE SANTIAGO,CLINICA ALEMANA DE SANTIAGO,,CLINICA ALEMANA DE SANTIAGO,,,,,,,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||Test,Test,,Test,"Av. Providencia 2286, Providencia, Región Metropolitana, Chile",Santiago,,Chile,-33.4208476,-70.6085094,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|79.560.900-8|RADIO NUCLEAR,RADIO NUCLEAR,79.560.900-8,RADIO NUCLEAR,"María Luisa Santander 514, Providencia",Santiago,Providencia,Chile,-33.4384313,-70.6262101,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||SERVICIO DE SALUD DE MAGALLANES,SERVICIO DE SALUD DE MAGALLANES,,SERVICIO DE SALUD DE MAGALLANES,,,,,,,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||HOSPITAL CARLOS VAN BUREN (SSVSA),HOSPITAL CARLOS VAN BUREN (SSVSA),,HOSPITAL CARLOS VAN BUREN (SSVSA),"Hontaneda 2560, Valparaíso",Valparaiso,Valparaíso,Chile,-33.0519449,-71.6092354,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||RADIO NUCLEAR,RADIO NUCLEAR,,RADIO NUCLEAR,"María Luisa Santander 514, Providencia",Santiago,Providencia,Chile,-33.4384313,-70.6262101,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||TORRE MÉDICA - RANCAGUA,TORRE MÉDICA - RANCAGUA,,TORRE MÉDICA - RANCAGUA,"Bombero Villalobos 1049, Rancagua",Cachapoal,Rancagua,Chile,-34.1860804,-70.7222155,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||INRAD,INRAD,,INRAD,"Dublé Almeyda 3840, Ñuñoa",Santiago,Ñuñoa,Chile,-33.4569497,-70.5892399,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),,CLÍNICA SANATORIO ALEMÁN (ONCORAD),,,,,,,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||Instituto Nacional del Cáncer (INC),Instituto Nacional del Cáncer (INC),,Instituto Nacional del Cáncer (INC),,,,,,,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),Instituto Nacional del Cáncer (INC),61.608.404-6,Instituto Nacional del Cáncer (INC),"Profesor Zañartu 1010, Recoleta, Independencia",Santiago,Recoleta,Chile,-33.4176654,-70.6526442,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|61.606.901-2|HOSPITAL REGIONAL DE TALCA,HOSPITAL REGIONAL DE TALCA,61.606.901-2,HOSPITAL REGIONAL DE TALCA,"Uno Norte 1951, Talca",Talca,Talca,Chile,-35.4276404,-71.6463471,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||HOSPITAL REGIONAL DE TALCA,HOSPITAL REGIONAL DE TALCA,,HOSPITAL REGIONAL DE TALCA,"Uno Norte 1951, Talca",Talca,Talca,Chile,-35.4276404,-71.6463471,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||CLÍNICA ALEMANA DE TEMUCO,CLÍNICA ALEMANA DE TEMUCO,,CLÍNICA ALEMANA DE TEMUCO,"Senador Estébanez 645, Temuco",Cautín,Temuco,Chile,-38.736576,-72.610829,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||Mantención Simulador Huestis HCM,Mantención Simulador Huestis HCM,,Mantención Simulador Huestis HCM,,,,,,,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||Mantención Preventiva Anual Linac HCM,Mantención Preventiva Anual Linac HCM,,Mantención Preventiva Anual Linac HCM,,,,,,,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||Control Dosimetrico Linac HCM,Control Dosimetrico Linac HCM,,Control Dosimetrico Linac HCM,,,,,,,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT||CLÍNICA LAS CONDES,CLÍNICA LAS CONDES,,CLÍNICA LAS CONDES,,,,,,,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,CLÍNICA LAS CONDES,93.930.000-7,CLÍNICA LAS CONDES,"Lo Fontecilla 441, Las Condes, Chile",Santiago,Las Condes,Chile,-33.3838905,-70.530514,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|61.606.500-9|ACME,ACME,61.606.500-9,ACME,"Providencia 187, Providencia",Santiago,Santiago,Chile,-33.436434,-70.631338,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,UC CHRISTUS - SCA,81.698.900-0,UC CHRISTUS - SCA,"Cam. El Alba 12351, Las Condes, Chile",Santiago,Las Condes,Chile,-33.4006926,-70.5098316,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|76.089.058-8|EYG MEDICAL SYSTEMS LTDA.,EYG MEDICAL SYSTEMS LTDA.,76.089.058-8,EYG MEDICAL SYSTEMS LTDA.,"Providencia 2286, Providencia",Santiago,Providencia,Chile,-33.4208476,-70.6085094,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|70.377.400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,70.377.400-8,FUNDACION ARTURO LOPEZ PEREZ,"Rancagua 878, Providencia",Santiago,Providencia,Chile,-33.4391497,-70.622293,2026-08-03T04:54:37.213Z
FIELD_BEAT_CLIENT|76.746.730-3|RADIO ONCOLOGÍA DEL SUR,RADIO ONCOLOGÍA DEL SUR,76.746.730-3,RADIO ONCOLOGÍA DEL SUR,"Bahamondes 44, Concepción, Chile",Concepcion,Concepción,Chile,-36.8109666,-73.07425359999999,2026-08-03T04:54:37.213Z
