equipment_key,equipment_uuid,internal_id,client_key,equipment_type,source_system,updated_at
FIELDBEAT_EQUIPMENT|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|99471dac-02f2-4be3-b6cd-0ca2f0f1d383|APOTECA-PS,99471dac-02f2-4be3-b6cd-0ca2f0f1d383,APOTECA-PS,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|dc36d94e-e0b1-470d-9000-bc8566f22d87|Linac-201110,dc36d94e-e0b1-470d-9000-bc8566f22d87,Linac-201110,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||153038,,153038,FIELD_BEAT_CLIENT|61.606.500-9|ACME,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|a42edbe1-2603-4ba4-b22f-35b213087dc1|Linac-154325,a42edbe1-2603-4ba4-b22f-35b213087dc1,Linac-154325,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|733e2e48-14b8-404a-bba4-9a7bab024c64|153038,733e2e48-14b8-404a-bba4-9a7bab024c64,153038,FIELD_BEAT_CLIENT|61.606.500-9|ACME,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|db404b6d-d8df-4035-a2fc-0c17c30cee82|Linac-105277,db404b6d-d8df-4035-a2fc-0c17c30cee82,Linac-105277,FIELD_BEAT_CLIENT|76.105.383-3|TORRE MÉDICA - RANCAGUA,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||Linac-153038,,Linac-153038,FIELD_BEAT_CLIENT||FUNDACION ARTURO LOPEZ PEREZ,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|dbe9605b-e77d-48dc-b6bf-412f8857866e|2286,dbe9605b-e77d-48dc-b6bf-412f8857866e,2286,FIELD_BEAT_CLIENT|76.089.058-8|EYG MEDICAL SYSTEMS LTDA.,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|8aedc5fd-0ea3-46ad-997c-25716de85bf8|Linac-201073,8aedc5fd-0ea3-46ad-997c-25716de85bf8,Linac-201073,FIELD_BEAT_CLIENT|96.606.750-0|CLÍNICA ALEMANA DE TEMUCO,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||TPS-HCVB,,TPS-HCVB,FIELD_BEAT_CLIENT||HOSPITAL CARLOS VAN BUREN (SSVSA),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|79344240-59be-4d93-a69a-0f5618066558|Linac-201172,79344240-59be-4d93-a69a-0f5618066558,Linac-201172,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||Linac-152171,,Linac-152171,FIELD_BEAT_CLIENT||CLINICA ALEMANA DE SANTIAGO,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||TPS-FALP,,TPS-FALP,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||LIAC-FALP,,LIAC-FALP,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|c67ffc1d-0363-43ac-b80c-43911a8b53eb|Linac-152280,c67ffc1d-0363-43ac-b80c-43911a8b53eb,Linac-152280,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|4ceb1f88-b175-4aad-9e6a-7f673aa237e4|TPS-HCVB,4ceb1f88-b175-4aad-9e6a-7f673aa237e4,TPS-HCVB,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|0f2acfc5-d1ed-486c-a5dd-70b423158057|Linac-152171,0f2acfc5-d1ed-486c-a5dd-70b423158057,Linac-152171,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||OIS-FALP,,OIS-FALP,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|45f0341d-0583-44f2-85e9-19a9a09905dc|PANASONIC-ISP,45f0341d-0583-44f2-85e9-19a9a09905dc,PANASONIC-ISP,FIELD_BEAT_CLIENT|61.605.000-1|INSTITUTO DE SALUD PUBLICA (ISP),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||Linac-151673,,Linac-151673,FIELD_BEAT_CLIENT||CLINICA ALEMANA DE SANTIAGO,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|6b1c91f9-0f80-4ea2-937e-2f2c3cbe3387|OIS-HCVB,6b1c91f9-0f80-4ea2-937e-2f2c3cbe3387,OIS-HCVB,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|3e5f26be-284b-4a99-a5b4-21dbef17daa0|Linac-151238,3e5f26be-284b-4a99-a5b4-21dbef17daa0,Linac-151238,FIELD_BEAT_CLIENT|79.560.900-8|RADIO NUCLEAR,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|e574006d-2657-4c2b-9ccf-99c578b6b909|HDR_10806,e574006d-2657-4c2b-9ccf-99c578b6b909,HDR_10806,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||Linac-152280,,Linac-152280,FIELD_BEAT_CLIENT||SERVICIO DE SALUD DE MAGALLANES,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||Linac-154325,,Linac-154325,FIELD_BEAT_CLIENT||HOSPITAL CARLOS VAN BUREN (SSVSA),LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|9870f78c-2ead-468b-bef5-882180a5b706|SIM-HCM,9870f78c-2ead-468b-bef5-882180a5b706,SIM-HCM,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||Linac-153935,,Linac-153935,FIELD_BEAT_CLIENT||UC CHRISTUS - CECA,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||OIS-HCVB,,OIS-HCVB,FIELD_BEAT_CLIENT||HOSPITAL CARLOS VAN BUREN (SSVSA),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||TPS-INRAD,,TPS-INRAD,FIELD_BEAT_CLIENT||INRAD,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|4e69f507-9eb6-40da-babe-3ef68a3a7656|TPS-UC,4e69f507-9eb6-40da-babe-3ef68a3a7656,TPS-UC,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|0d5d3c9c-1b27-44ee-b82c-5e41bc11dfa3|OIS-ONCORAD,0d5d3c9c-1b27-44ee-b82c-5e41bc11dfa3,OIS-ONCORAD,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),,FIELDBEAT,2026-08-06T15:18:59.172Z
