ticket_custom_field_id,zendesk_ticket_id,field_id,field_value,extracted_at
1|22950764862363,1,22950764862363,,2026-08-06T07:59:40.903Z
1|22951106310811,1,22951106310811,,2026-08-06T07:59:40.903Z
1|22986688179995,1,22986688179995,,2026-08-06T07:59:40.903Z
1|23570126394907,1,23570126394907,,2026-08-06T07:59:40.903Z
1|34267608050075,1,34267608050075,,2026-08-06T07:59:40.903Z
1|39065204608155,1,39065204608155,,2026-08-06T07:59:40.903Z
1|40011436329115,1,40011436329115,,2026-08-06T07:59:40.903Z
1|43011722643739,1,43011722643739,,2026-08-06T07:59:40.903Z
1|43806479792155,1,43806479792155,,2026-08-06T07:59:40.903Z
1|43806495652507,1,43806495652507,,2026-08-06T07:59:40.903Z
1|46198959369371,1,46198959369371,,2026-08-06T07:59:40.903Z
1|46199043039259,1,46199043039259,,2026-08-06T07:59:40.903Z
1|49468052627483,1,49468052627483,,2026-08-06T07:59:40.903Z
1|50338064550299,1,50338064550299,,2026-08-06T07:59:40.903Z
1|50338094524571,1,50338094524571,,2026-08-06T07:59:40.903Z
1|51536708125979,1,51536708125979,,2026-08-06T07:59:40.903Z
1|53413823625115,1,53413823625115,,2026-08-06T07:59:40.903Z
1|53413857466651,1,53413857466651,,2026-08-06T07:59:40.903Z
1|53413889889179,1,53413889889179,,2026-08-06T07:59:40.903Z
1|53413889909659,1,53413889909659,,2026-08-06T07:59:40.903Z
1|53413906451867,1,53413906451867,,2026-08-06T07:59:40.903Z
1|53413906511387,1,53413906511387,,2026-08-06T07:59:40.903Z
202|22950764862363,202,22950764862363,,2026-08-06T07:59:40.903Z
202|22951106310811,202,22951106310811,dosisoft,2026-08-06T07:59:40.903Z
202|22986688179995,202,22986688179995,si,2026-08-06T07:59:40.903Z
202|23570126394907,202,23570126394907,,2026-08-06T07:59:40.903Z
202|34267608050075,202,34267608050075,,2026-08-06T07:59:40.903Z
202|39065204608155,202,39065204608155,,2026-08-06T07:59:40.903Z
202|40011436329115,202,40011436329115,,2026-08-06T07:59:40.903Z
202|43011722643739,202,43011722643739,,2026-08-06T07:59:40.903Z
202|43806479792155,202,43806479792155,,2026-08-06T07:59:40.903Z
202|43806495652507,202,43806495652507,,2026-08-06T07:59:40.903Z
202|46198959369371,202,46198959369371,,2026-08-06T07:59:40.903Z
202|46199043039259,202,46199043039259,,2026-08-06T07:59:40.903Z
202|49468052627483,202,49468052627483,,2026-08-06T07:59:40.903Z
202|50338064550299,202,50338064550299,,2026-08-06T07:59:40.903Z
202|50338094524571,202,50338094524571,,2026-08-06T07:59:40.903Z
202|51536708125979,202,51536708125979,,2026-08-06T07:59:40.903Z
202|53413823625115,202,53413823625115,,2026-08-06T07:59:40.903Z
202|53413857466651,202,53413857466651,,2026-08-06T07:59:40.903Z
202|53413889889179,202,53413889889179,,2026-08-06T07:59:40.903Z
202|53413889909659,202,53413889909659,,2026-08-06T07:59:40.903Z
202|53413906451867,202,53413906451867,,2026-08-06T07:59:40.903Z
202|53413906511387,202,53413906511387,,2026-08-06T07:59:40.903Z
7|22950764862363,7,22950764862363,,2026-08-06T07:59:40.903Z
7|22951106310811,7,22951106310811,,2026-08-06T07:59:40.903Z
7|22986688179995,7,22986688179995,,2026-08-06T07:59:40.903Z
7|23570126394907,7,23570126394907,,2026-08-06T07:59:40.903Z
7|34267608050075,7,34267608050075,,2026-08-06T07:59:40.903Z
7|39065204608155,7,39065204608155,,2026-08-06T07:59:40.903Z
7|40011436329115,7,40011436329115,,2026-08-06T07:59:40.903Z
7|43011722643739,7,43011722643739,,2026-08-06T07:59:40.903Z
7|43806479792155,7,43806479792155,,2026-08-06T07:59:40.903Z
7|43806495652507,7,43806495652507,,2026-08-06T07:59:40.903Z
7|46198959369371,7,46198959369371,,2026-08-06T07:59:40.903Z
7|46199043039259,7,46199043039259,,2026-08-06T07:59:40.903Z
