ticket_tag_id,zendesk_ticket_id,tag,extracted_at
1|de,1,de,2026-07-01T21:00:58.996Z
1|muestra,1,muestra,2026-07-01T21:00:58.996Z
1|support,1,support,2026-07-01T21:00:58.996Z
1|zendesk,1,zendesk,2026-07-01T21:00:58.996Z
202|angiografía__neuangio_43c,202,angiografía__neuangio_43c,2026-07-01T21:00:58.996Z
202|axesse,202,axesse,2026-07-01T21:00:58.996Z
202|barcoding,202,barcoding,2026-07-01T21:00:58.996Z
202|closed_by_merge,202,closed_by_merge,2026-07-01T21:00:58.996Z
202|dosisoft,202,dosisoft,2026-07-01T21:00:58.996Z
202|elekta,202,elekta,2026-07-01T21:00:58.996Z
202|físico,202,físico,2026-07-01T21:00:58.996Z
202|hardware_y_software,202,hardware_y_software,2026-07-01T21:00:58.996Z
202|infinity,202,infinity,2026-07-01T21:00:58.996Z
202|iview,202,iview,2026-07-01T21:00:58.996Z
202|linac,202,linac,2026-07-01T21:00:58.996Z
202|monaco,202,monaco,2026-07-01T21:00:58.996Z
202|monacosim,202,monacosim,2026-07-01T21:00:58.996Z
202|mosaiq,202,mosaiq,2026-07-01T21:00:58.996Z
202|si,202,si,2026-07-01T21:00:58.996Z
202|storage,202,storage,2026-07-01T21:00:58.996Z
202|versahd,202,versahd,2026-07-01T21:00:58.996Z
202|xvi,202,xvi,2026-07-01T21:00:58.996Z
48|agility,48,agility,2026-07-01T21:00:58.996Z
48|axesse,48,axesse,2026-07-01T21:00:58.996Z
48|cabezal_agility,48,cabezal_agility,2026-07-01T21:00:58.996Z
48|elekta,48,elekta,2026-07-01T21:00:58.996Z
48|físico,48,físico,2026-07-01T21:00:58.996Z
48|hardware_y_software,48,hardware_y_software,2026-07-01T21:00:58.996Z
48|infinity,48,infinity,2026-07-01T21:00:58.996Z
48|mlc,48,mlc,2026-07-01T21:00:58.996Z
48|no,48,no,2026-07-01T21:00:58.996Z
51|axesse,51,axesse,2026-07-01T21:00:58.996Z
51|braquiterapia,51,braquiterapia,2026-07-01T21:00:58.996Z
51|elekta,51,elekta,2026-07-01T21:00:58.996Z
51|fco,51,fco,2026-07-01T21:00:58.996Z
51|físico,51,físico,2026-07-01T21:00:58.996Z
51|hardware_y_software,51,hardware_y_software,2026-07-01T21:00:58.996Z
51|infinity,51,infinity,2026-07-01T21:00:58.996Z
51|monaco,51,monaco,2026-07-01T21:00:58.996Z
51|mosaiq,51,mosaiq,2026-07-01T21:00:58.996Z
51|mosaiq_server,51,mosaiq_server,2026-07-01T21:00:58.996Z
51|no,51,no,2026-07-01T21:00:58.996Z
51|on_hold_1h,51,on_hold_1h,2026-07-01T21:00:58.996Z
27|acelerador_lineal,27,acelerador_lineal,2026-07-01T21:00:58.996Z
27|ingeniero_de_servicio,27,ingeniero_de_servicio,2026-07-01T21:00:58.996Z
27|no,27,no,2026-07-01T21:00:58.996Z
27|on_hold_1h,27,on_hold_1h,2026-07-01T21:00:58.996Z
46|axesse,46,axesse,2026-07-01T21:00:58.996Z
46|dosisoft,46,dosisoft,2026-07-01T21:00:58.996Z
46|elekta,46,elekta,2026-07-01T21:00:58.996Z
46|físico,46,físico,2026-07-01T21:00:58.996Z
46|hardware_y_software,46,hardware_y_software,2026-07-01T21:00:58.996Z
46|iviewgt,46,iviewgt,2026-07-01T21:00:58.996Z
46|no,46,no,2026-07-01T21:00:58.996Z
46|panel,46,panel,2026-07-01T21:00:58.996Z
46|problema,46,problema,2026-07-01T21:00:58.996Z
57|acelerador_lineal,57,acelerador_lineal,2026-07-01T21:00:58.996Z
57|axesse,57,axesse,2026-07-01T21:00:58.996Z
57|braquiterapia,57,braquiterapia,2026-07-01T21:00:58.996Z
57|elekta,57,elekta,2026-07-01T21:00:58.996Z
57|físico,57,físico,2026-07-01T21:00:58.996Z
57|hardware_y_software,57,hardware_y_software,2026-07-01T21:00:58.996Z
57|infinity,57,infinity,2026-07-01T21:00:58.996Z
57|monaco,57,monaco,2026-07-01T21:00:58.996Z
57|mosaiq,57,mosaiq,2026-07-01T21:00:58.996Z
57|no,57,no,2026-07-01T21:00:58.996Z
57|on_hold_1h,57,on_hold_1h,2026-07-01T21:00:58.996Z
39|acelerador_lineal,39,acelerador_lineal,2026-07-01T21:00:58.996Z
39|axesse,39,axesse,2026-07-01T21:00:58.996Z
39|elekta,39,elekta,2026-07-01T21:00:58.996Z
39|físico,39,físico,2026-07-01T21:00:58.996Z
