zendesk_ticket_id,external_id,type,subject,raw_subject,description,priority,status,via_channel,requester_id,submitter_id,assignee_id,organization_id,group_id,is_public,has_incidents,due_at,satisfaction_rating,ticket_form_id,brand_id,created_at,updated_at,extracted_at
1,,incident,Ticket de muestra: le presentamos el ticket,Ticket de muestra: le presentamos el ticket,"Hola:

Le envío un correo electrónico porque tengo problemas para configurar su nuevo producto. ¿Puede ayudarme a solucionar el problema?

Gracias,
 El cliente

",normal,closed,sample_ticket,14481411156123,14481448391451,14481448391451,,14481465021595,true,false,,offered,14481464796955,14481427110299,2023-04-12T17:00:39Z,2024-02-19T15:02:23Z,2026-08-06T15:19:10.327Z
202,,incident,Interlock Gantry,Interlock Gantry,"Estimados,

A pesar de las tres intervenciones realizadas, continuamos con el ineterlock ""gantry"" lo cual nos dificulta administrar los tratamientos.

Saludos,

Nathalie",high,closed,web,20254050952987,20254050952987,15768454754715,20265216319003,14481465021595,true,false,,unoffered,20427286020763,14481427110299,2024-05-31T19:20:10Z,2024-06-01T01:15:28Z,2026-08-06T15:19:10.327Z
7,,problem,Ticket de prueba: Correo electrónico de un cliente,Ticket de prueba: Correo electrónico de un cliente,"Tengo un problema para configurar su nuevo producto. ¿Puede ayudarme a 
solucionar el problema?

----------------------
Ruben  Cammalleri
Jefe de TI

Servicio Técnico | E&G Medical Systems

+56226537362 <tel:+56226537362> | +56931868061 <tel:+56931868061>
rcammalleri@eygsa.cl
www.eygsa.cl <https://www.eygsa.cl/>
Av. Providencia 2286, Piso 5, Ofc 504",high,closed,email,14734559344539,14734559344539,14734559344539,14481410802331,14481465021595,true,false,,unoffered,14481464796955,14481427110299,2023-05-16T11:35:02Z,2023-05-23T23:03:40Z,2026-08-06T15:19:10.327Z
48,,problem,LA PRUEBAS DEL MLC PARA EL AXESSE FALLA EN LOS CONTROLES ,LA PRUEBAS DEL MLC PARA EL AXESSE FALLA EN LOS CONTROLES ,"Estimados,

En las prueba rutinarias del MLC del Axesse observamos que hay fallas en el posicionamiento y la velocidad del MLC que nos arrojas error en las tolerancias de las pruebas y con esto posiblemente desviación en la verificaciones de los pacientes en dosisoft.

Si pueden verificar los MLC antes de hacer cualquier cambio en dosisoft.

Gracias,

Rita Castillo",normal,closed,web,20254050952475,20254050952475,19579456345883,14741297259931,14481465021595,true,false,,offered,20427286020763,14481427110299,2024-03-06T12:45:57Z,2024-03-11T13:02:04Z,2026-08-06T15:19:10.327Z
51,,incident,"FCO (371-05-MSQ-073) - MOSAIQ® Partial Wedge Fields, CFS and Plan Re-Promotion","FCO (371-05-MSQ-073) - MOSAIQ® Partial Wedge Fields, CFS and Plan Re-Promotion","Hola Estimada/o, Erick Salcedo.

El motivo del presente ticket es enviarle el siguiente boletín informativo liberado recientemente por Elekta.
Agradecemos por favor, tomar conocimiento, registrar dentro de sus documentos y retornar la plantilla o la hoja firmada con su nombre y cargo actual, para poder enviar a Elekta este documento.

Fco en adjunto.",normal,closed,web,20254050952347,15768454754715,15768454754715,14741297259931,14481465021595,true,false,,offered,20427286020763,14481427110299,2024-03-07T18:08:38Z,2024-03-12T13:01:59Z,2026-08-06T15:19:10.327Z
27,,problem,Problema con las láminas o optimización de energías,Problema con las láminas o optimización de energías,testeando base de conocimiento,low,closed,web,15768454754715,15768454754715,15768454754715,14481410802331,14481465021595,true,false,,offered,20427286020763,14481427110299,2024-02-20T23:08:22Z,2024-03-14T00:02:27Z,2026-08-06T15:19:10.327Z
46,,problem,En dosisoft el indice gamma esta fallando para el Acelerador Axesse,En dosisoft el indice gamma esta fallando para el Acelerador Axesse,"Hola Estimado Rita,

El seguimiento de este ticket se estará llevando en la nueva plataforma Zendesk, dejaré un resumen del caso abierto en la plataforma IOSticket:

## Ticket #674652


* * *
Dejo un resumen del caso:

**Rita Castillo** publicado 26/feb./2024 20:03
Estimados,
Buena tardes,  luego de la intervención del viernes en el acelerador Axesse, vemos que los valores gamma da por debajo, que la imagen adquirida es menor que la imagen predictiva y aplicando la normalización a las imágenes el valor de índice gamma da bien, hicimos los mismo con una medida de una paciente que antes de la intervención dio bien y luego nos dio mal, envíe imágenes de comparación a Gloria de Dosisoft pero está de vacaciones, me pidieron abrir un ticket por elekta para poder ver el caso y resolver, de igual forma tomamos imágenes de campos cuadrados de energía de 6 MV y 6 FFF y nos dio fuera del rango de tolerancia. Si puede verificarlo y hacer el ajuste necesario

Saludos,
Rita Castillo

Creado por **![Avatar](http://www.gravatar.com/avatar/d43809129231d5eb4659bb844e46d990?s=80&d=mm)Rita Castillo**26/feb./2024 20:03

**Rita Castillo** añadido **Erick Salcedo** como colaborador 26/feb./2024 20:03

**Rita Castillo** añadido **Rodrigo El Far** como colaborador 26/feb./2024 20:03

Colaboradores para la organización Centro Cáncer UC-Christus añadidos

![Avatar](http://www.gravatar.com/avatar/af844fb8755a334e6893dd44491e5610?s=80&d=mm)



**Rafael Guapache** publicado 27/feb./2024 09:11

Hola Rita, buenos días.

Podemos revisar este tema mañana luego de la jornada de pacientes. Podrás indicarnos una hora aproximada?

Quedamos atentos

Saludos

 ![Avatar](http://www.gravatar.com/avatar/91a772ea306aabaa3e91f3a1b852afb4?s=80&d=mm)
**Cc Collaborator**
**Erick Salcedo** publicado 27/feb./2024 10:04
Estimado Rafael mañana tenemos disponibilidad en este acelerador desde las 19 hrs.
Quedamos atentos

![Avatar](http://www.gravatar.com/avatar/af844fb8755a334e6893dd44491e5610?s=80&d=mm)



**Rafael Guapache** publicado 28/feb./2024 16:32

Hola Erick,

Hoy se nos dificulta asistir, a que horas tenemos disponibilidad del equipo el dia de mañana?

Quedo atento

Saludos

 ![Avatar](http://www.gravatar.com/avatar/91a772ea306aabaa3e91f3a1b852afb4?s=80&d=mm)
**Cc Collaborator**
**Erick Salcedo** publicado 29/feb./2024 08:16
Hola Alejandro hoy a las 6 de la tarde ese equipo estará sin pacientes, una hora mas temprano que ayer, si es que no pasa nada, te ruego que confirmemos esta hora mas tarde, pero si por favor necesito la intervención.",high,closed,web,20254050952475,15768454754715,15768454754715,14741297259931,14481465021595,true,false,,unoffered,20427286020763,14481427110299,2024-03-05T14:33:34Z,2024-03-15T15:02:40Z,2026-08-06T15:19:10.327Z
57,,incident,2T EN EL INFINITY,2T EN EL INFINITY,"Estimados,

Buenas tardes, hemos tenido en varias ocasiones 2T en el Infinity, si pueden revisarlo.

Saludos,

Rita Castillo",normal,closed,web,20254050952475,20254050952475,15768454754715,14741297259931,14481465021595,true,false,,offered,20427286020763,14481427110299,2024-03-11T15:22:41Z,2024-03-19T21:02:34Z,2026-08-06T15:19:10.327Z
39,,problem,El inifinity en varias oportunidad esta con problemas de Hump Err,El inifinity en varias oportunidad esta con problemas de Hump Err,"Estimados,

Buena tardes, el Infinity desde hace dos semanas esta de forma intermitente con problemas de Hump Err, ya el Ing Rafael pudo verificarlo entrando por Intellimax y pudo ver que no había ninguna desviación, pero el interlock aun persiste. Si puede revisarlo.

Saludos,

Rita Castillo",normal,closed,web,20254050952475,20254050952475,15768454754715,14741297259931,14481465021595,true,false,,offered,20427286020763,14481427110299,2024-03-01T18:20:49Z,2024-03-19T21:02:35Z,2026-08-06T15:19:10.327Z
63,,incident,FCO - 382-05-MON-055 - Agility MLC plans may be incorrectly calculated,FCO - 382-05-MON-055 - Agility MLC plans may be incorrectly calculated,"Hola Estimado, Erick Salcedo.

El motivo del presente ticket es enviarle el siguiente boletín informativo liberado recientemente por Elekta.
Agradecemos por favor, tomar conocimiento, registrar dentro de sus documentos y retornar la plantilla o la hoja firmada con su nombre y cargo actual, para poder enviar a Elekta este documento.

Este FCO aplicaría para todas las sedes.

Fco en adjunto.

Que tengas excelente tarde.",normal,closed,web,20254050952347,15768454754715,15768454754715,14741297259931,14481465021595,true,false,,offered,20427286020763,14481427110299,2024-03-15T17:30:17Z,2024-03-22T21:02:35Z,2026-08-06T15:19:10.327Z
