bridge_id,zendesk_ticket_id,fieldbeat_task_id,link_method,confidence,created_at
150655|1250,150655,1250,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
949395|1251,949395,1251,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
719418|1252,719418,1252,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
465221|1255,465221,1255,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
914336|1256,914336,1256,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
843013|1257,843013,1257,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
190572|1258,190572,1258,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
99999|1259,99999,1259,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
99999|1260,99999,1260,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
549574|1261,549574,1261,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
240899|1268,240899,1268,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
434875|1269,434875,1269,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
992701|1270,992701,1270,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
100033|1271,100033,1271,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
211406|1272,211406,1272,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
475970|1275,475970,1275,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
580583|1276,580583,1276,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
657405|1277,657405,1277,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
595389|1278,595389,1278,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
626188|1279,626188,1279,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
564323|1281,564323,1281,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
808668|1283,808668,1283,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
532379|1284,532379,1284,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
674531|1285,674531,1285,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
315212|1287,315212,1287,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
240899|1288,240899,1288,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
674531|1290,674531,1290,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
159610|1291,159610,1291,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
000000000|1293,000000000,1293,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
487058|1298,487058,1298,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
487085|1299,487085,1299,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
864151|1300,864151,1300,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
599574|1301,599574,1301,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
84769|1305,84769,1305,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
274725|1306,274725,1306,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
00000|1307,00000,1307,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
545781|1308,545781,1308,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
877450|1310,877450,1310,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
507391|1311,507391,1311,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
290214|1312,290214,1312,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
414010|1313,414010,1313,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
285305|1314,285305,1314,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
911108|1315,911108,1315,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
167765|1316,167765,1316,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
285305|1317,285305,1317,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
903028|1318,903028,1318,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
368560|1322,368560,1322,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
886290|1323,886290,1323,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
479892|1324,479892,1324,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
595495|1325,595495,1325,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
244427|1326,244427,1326,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
321375|1328,321375,1328,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
864151|1330,864151,1330,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
326756|1331,326756,1331,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
375731|1332,375731,1332,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
686250|1333,686250,1333,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
553258|1335,553258,1335,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
508853|1336,508853,1336,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
508853|1338,508853,1338,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
815543|1339,815543,1339,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
346122|1342,346122,1342,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
844191|1344,844191,1344,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
720356|1345,720356,1345,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0000|1346,0000,1346,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
903908|1347,903908,1347,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0000|1348,0000,1348,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
983006|1349,983006,1349,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
487085|1353,487085,1353,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
355432|1354,355432,1354,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
988322|1356,988322,1356,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
359310|1357,359310,1357,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
481510|1358,481510,1358,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
333928|1359,333928,1359,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0000|1362,0000,1362,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
318046|1363,318046,1363,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
