bridge_id,missing_zendesk_ticket_id,fieldbeat_task_id,task_type,state,client_key,created_at,link_method
150655|1250,150655,1250,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2021-11-12T21:59:41.182Z,fieldbeat_report_ticket_number
949395|1251,949395,1251,PREVENTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2021-11-13T13:05:24.724Z,fieldbeat_report_ticket_number
719418|1252,719418,1252,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2021-11-13T14:56:01.677Z,fieldbeat_report_ticket_number
465221|1255,465221,1255,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2021-11-15T16:23:35.217Z,fieldbeat_report_ticket_number
914336|1256,914336,1256,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2021-11-16T11:05:57.912Z,fieldbeat_report_ticket_number
843013|1257,843013,1257,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|79.560.900-8|RADIO NUCLEAR,2021-11-16T21:21:53.242Z,fieldbeat_report_ticket_number
190572|1258,190572,1258,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.605.000-1|INSTITUTO DE SALUD PUBLICA (ISP),2021-11-17T14:18:34.299Z,fieldbeat_report_ticket_number
99999|1259,99999,1259,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|79.560.900-8|RADIO NUCLEAR,2021-11-17T16:58:35.623Z,fieldbeat_report_ticket_number
99999|1260,99999,1260,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|79.560.900-8|RADIO NUCLEAR,2021-11-17T19:06:08.254Z,fieldbeat_report_ticket_number
549574|1261,549574,1261,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2021-11-17T19:49:00.386Z,fieldbeat_report_ticket_number
240899|1268,240899,1268,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2021-11-20T17:24:13.302Z,fieldbeat_report_ticket_number
434875|1269,434875,1269,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2021-11-22T11:20:58.506Z,fieldbeat_report_ticket_number
992701|1270,992701,1270,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2021-11-22T11:48:36.591Z,fieldbeat_report_ticket_number
100033|1271,100033,1271,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2021-11-23T17:58:32.856Z,fieldbeat_report_ticket_number
211406|1272,211406,1272,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|79.560.900-8|RADIO NUCLEAR,2021-11-24T19:14:31.394Z,fieldbeat_report_ticket_number
