fieldbeat_task_id,task_type,state,priority,client_key,created_at,updated_at
943,REQUERIMIENTO DEL CLIENTE,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2021-01-29T14:31:52.827Z,2021-01-29T15:03:00.856Z
944,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2021-01-29T14:33:49.374Z,2021-01-29T15:00:42.086Z
951,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2021-02-04T17:56:03.735Z,2021-02-05T18:32:24.946Z
952,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2021-02-05T20:39:50.992Z,2021-02-05T20:43:48.889Z
953,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2021-02-06T17:10:04.916Z,2021-02-06T20:56:14.668Z
954,PREVENTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,2021-02-07T22:02:28.184Z,2021-02-07T22:29:48.440Z
955,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,2021-02-10T12:03:18.819Z,2021-02-10T12:17:35.737Z
956,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2021-02-10T12:19:55.655Z,2021-02-10T12:44:46.934Z
957,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2021-02-10T13:59:38.289Z,2021-02-10T14:42:36.944Z
958,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2021-02-11T13:34:09.304Z,2021-02-11T16:11:46.596Z
