zendesk_ticket_id,fieldbeat_report_count,fieldbeat_task_ids,sources
9999,52,1370|1392|1396|1397|1404|1446|1459|1461|1487|1516|1531|1549|1561|1596|1597|1605|1614|1617|1633|1642|1646|1678|1679|1705|1710|1717|1734|1735|1778|1818|1829|1841|1872|1873|1902|1920|1950|1969|1972|2051|2053|2055|2059|2061|2069|2079|2080|2160|2261|2283|2433|2982,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
777777,39,1405|1406|1424|1428|1431|1528|1545|1547|1562|1585|1611|1613|1634|1638|1658|1715|1716|1724|1752|1795|1799|1807|1828|1853|1878|1879|1883|1900|1927|1928|1940|1941|1987|2004|2005|2028|2049|2050|2143,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
0000,33,1346|1348|1362|1415|1556|1741|1742|1747|1748|1749|1754|1756|1757|1763|1768|1808|1822|1875|1894|1918|1919|1924|1930|1949|1964|1979|1999|2011|2023|2724|3410|3627|3628,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
0101,26,1485|1491|1514|1526|1557|1598|1601|1604|1606|1608|1622|1659|1660|1728|1729|1806|1810|1885|1935|2071|2083|2089|2094|2133|2134|3061,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8855,11,2821|2824|2828|2829|2830|2833|2836|2839|2840|2841|2845,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
42,5,2354|2439|2490|2633|2999,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
45,5,1891|1893|2384|2390|2420,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9918,5,3571|3582|3584|3652|3654,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
0,4,1443|1738|3192|3417,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
0001,4,1448|1586|1789|1792,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
412,4,2623|2634|2637|2675,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8832,4,2808|2822|2879|2988,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9074,4,2969|3098|3118|3120,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
10046,4,3671|3679|3683|3695,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
00000,3,1307|1959|3699,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
000,3,1788|2851|3051,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
222,3,3092|3093|3371,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
227,3,2517|2518|2527,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
327,3,2571|2572|2579,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
555,3,1568|1842|2313,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8775,3,2762|2878|3143,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8798,3,3052|3674|3696,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9083,3,2970|3115|3116,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9153,3,3086|3113|3195,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9173,3,3036|3057|3137,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9176,3,3038|3040|3091,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9400,3,3218|3221|3232,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9781,3,3447|3448|3453,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9947,3,3570|3572|3621,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9951,3,3598|3605|3680,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
