used_part_id,fieldbeat_task_id,zendesk_ticket_id,part_name,raw_part_identifier,normalized_part_identifier,dolibarr_product_id,dolibarr_ref,dolibarr_barcode,dolibarr_label,match_method,match_confidence,match_status,needs_manual_review,candidate_dolibarr_product_ids
197|2|0|45133502668 / 1024939 01,197,,resorte y ventilador,45133502668 / 1024939 01,45133502668102493901,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10776|10704
152|2|0|1510260,152,,KV Panel Detector,1510260,1510260,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11815|11920|10702|10703
236|2|0|45133326854,236,,mylar,45133326854,45133326854,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10136|11863
"356|2|0|Lead 8113024252101J. 
Motor 4513332644304F.",356,,"Motor Assy.
Lead Screw Assemly. ","Lead 8113024252101J. 
Motor 4513332644304F.",LEAD8113024252101JMOTOR4513332644304F,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10325|10304
440|2|5|45133326275,440,,Screen Assembly,45133326275,45133326275,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10933|11813
"635|2|0|1533604-01
1511833-02
1511606-01",635,,"Transformador de pulso
cable de Alta tension de modulador
resistencia Transformador de pulso.","1533604-01
1511833-02
1511606-01",153360401151183302151160601,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11285|11284|11283
742|3|0|45133411850,742,,cable PL9,45133411850,45133411850,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,12189|11682|12204
744|2|0|45133326854.,744,,Mirror assembly (Mylar).,45133326854.,45133326854,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10136|11863
"868|2|0|BJ5989.051
4392401101
3627401103",868,,"95 mm Flexible RF
R.F. Seal 6268
O-ring 101x75 FPM","BJ5989.051
4392401101
3627401103",BJ598905143924011013627401103,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11416|11692
"904|2|0|P/N 1015075
P/N 1015076
P/N 8113024252101J",904,,"01 cinta SK25AA
01 cints SK25BB
01 leadscrew assembly","P/N 1015075
P/N 1015076
P/N 8113024252101J",PN1015075PN1015076PN8113024252101J,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10325|10958|10957
"883|2|0|45133909025
4513332644304F",883,,"02 Motor Driver Board
06 Motor Assembly","45133909025
4513332644304F",451339090254513332644304F,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10944|10304
975|3|0|45133416574,975,,Microswitch Plunger Assembly,45133416574,45133416574,,,,,REF_NORMALIZED_EXACT,0.85,AMBIGUOUS_MATCH,true,11279|11280
"989|2|0|water Valve 1022595
Fru XY drive Unit 45133318440",989,,"water Valve - 1
Fru XY drive Unit - 1

","water Valve 1022595
Fru XY drive Unit 45133318440",WATERVALVE1022595FRUXYDRIVEUNIT45133318440,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11805|11651
"1126|2|0|1006860
1538361
45133400146",1126,,"Dos Bombas Ionicas
Un Drift Tube 
un Fly Tube
sellos de Drift Tube","1006860
1538361
45133400146",1006860153836145133400146,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10964|11837
"1130|2|0|45133354085
1008461
45133908044
1015459
1013485",1130,,"Mother board
Control Processor PCB
Serial link Isolation PCB
Linac Interface PCB
Cable Sata","45133354085
1008461
45133908044
1015459
1013485",4513335408510084614513390804410154591013485,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11999|12001
1133|5|0|1015075 / 1015076,1133,,(2) CABLE RETRACTILE SK25A Y SK25B,1015075 / 1015076,10150751015076,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10958|10957
