normalized_part_identifier,raw_examples,occurrences,fieldbeat_task_ids,zendesk_ticket_ids,example_part_names,current_match_status,current_match_method,suggested_action,manual_dolibarr_product_id,manual_dolibarr_ref,review_notes
NA,NA|N/A|n/a|n/A|na,289,960|85|61|38|79|73|60|42|40|168|157|181|172|158|147|138|134|127|118|114|107|288|296|329|324|355|347|348|349|361|391|392|394|403|408|413|428|452|468|478|483|508|521|517|518|527|528|529|535|536|538|542|546|525|557|558|565|572|578|593|626|646|647|670|709|731|775|778|786|790|829|832|891|940|945|947|969|970|976|982|985|1018|1038|1039|1040|1068|1105|1131|1142|1176|1197|1199|1202|1211|1227|1229|1230|1231|1235|1239|1242|1244|1250|1264|1274|1275|1284|1286|1295|1302|1311|1312|1331|1332|1333|1347|1361|1384|1395|1423|1434|1450|1452|1463|1464|1465|1480|1485|1491|1496|1501|1504|1514|1520|1538|1542|1543|1548|1549|1556|1557|1564|1572|1574|1577|1578|1590|1597|1598|1601|1604|1606|1607|1608|1622|1659|1718|1723|1729|1731|1742|1744|1747|1748|1749|1754|1756|1763|1769|1777|1783|1786|1788|1796|1802|1806|1808|1809|1821|1822|1846|1851|1874|1885|1894|1905|1918|1919|1922|1924|1937|1942|1944|1948|1949|1955|1965|1973|1979|1980|1984|1988|1993|1999|2000|2002|2003|2009|2010|2011|2014|2016|2023|2031|2040|2058|2060|2074|2093|2094|2109|2117|2129|2142|2148|2154|2156|2164|2167|2183|2194|2199|2202|2205|2237|2248|2272|2279|2281|2284|2287|2290|2291|2296|2351|2362|2363|2389|2390|2391|2408|2409|2411|2421|2422|2424|2426|2432|2438|2439|2441|2445|2455|2464|2482|2490|2492|2495|2503|2512|2516|2537|2543|2555|2569|2612|2745|2902|2917|3332|3580|3581|3583|3657|3658|3704,150655|475970|532379|507391|290214|326756|375731|686250|903908|0203|928747|436271|563550|0101|293312|867282|654641|591426|392327|9999|0000|330260|950403|677843|428746|000|391499|837833|916830|154919|568581|436837|305630|535606|452861|691983|529099|914690|127990|716324|561750|560333|979673|989244|582497|823784|90|45|70|721393|40|173501|42|38|128|148|181|211|236|258|172,NA|N/C|N/A|no hay|Disco duro de Sequencer Mosaiq,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,Valor placeholder (sin numero/serie/N-A). Confirmar que no requiere match real.,,,
(vacio),---|.......,284,81|76|41|82|220|217|195|164|216|208|200|194|161|241|304|307|346|362|352|359|382|383|422|451|488|507|509|511|534|539|556|567|577|583|590|610|624|673|676|685|769|756|804|825|833|863|872|880|903|887|931|942|946|1006|1032|1058|1075|1086|1100|1103|1113|1159|1173|1174|1186|1188|1203|1210|1246|1247|1249|1364|1376|1385|1392|1431|1432|1433|1441|1443|1468|1483|1486|1492|1511|1551|1586|1623|1631|1633|1642|1649|1667|1678|1680|1681|1688|1689|1691|1709|1734|1751|1757|1780|1784|1793|1835|1836|1848|1868|1872|1873|1927|1928|1931|1932|1941|1947|1951|1959|1962|1975|2004|2018|2020|2035|2051|2063|2072|2086|2107|2140|2145|2147|2149|2150|2155|2161|2185|2201|2208|2210|2214|2221|2249|2252|2280|2314|2320|2321|2330|2341|2348|2356|2358|2359|2361|2384|2481|2545|2591|2595|2611|2613|2614|2619|2620|2624|2626|2638|2658|2667|2670|2671|2677|2684|2686|2687|2690|2693|2699|2702|2704|2705|2707|2722|2757|2762|2769|2773|2774|2798|2799|2806|2869|2871|2878|2887|2888|2906|2908|2912|2913|2918|2926|2928|2932|2937|2961|2972|2992|2993|2994|2996|3036|3059|3060|3061|3080|3086|3133|3137|3141|3142|3147|3152|3160|3162|3171|3172|3188|3214|3218|3220|3221|3245|3246|3247|3249|3258|3262|3264|3312|3333|3334|3335|3336|3343|3351|3372|3391|3398|3416|3435|3470|3524|3570|3586|3598|3633|3664|3691|3707|3762|3773,20001502053|665447|704250|9999|777777|0|120359|583766|900438|588386|0001|312736|224161|292917|650403|475039|236942|523761|307865|0000|00001|136342|642619|123178|00000|601281|746842|107185|905198|593101|375568|362745|48|57|256105|45|265|393|463|8647|500|8652|446|8669|8667|8682|8702|8775|8825|8923|8904|8975|8993|8821|8995|44|9071|9111|9173|0101|9222|9153|9277|9282|9297|9291|9261|9344|9314|9364|9400|9403|9388|9441|9444|9556|9574|9578|9573|9591|9674|9722|9883|9947|9951|10002|10220,"DLG PCB  SN 1538489 / 1 Tornillo-Nuez-Motor Agility Banco Y2|Fusible de retardo de 10 amp.|Sesión Webex
|4 Nueces-Tornillos-Motor|N/C",PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,Valor placeholder (sin numero/serie/N-A). Confirmar que no requiere match real.,,,
NOHAY,No hay|No hay.|no hay|No hay.|No Hay,169,956|90|89|8|72|67|56|36|30|99|93|9|88|80|77|64|57|35|29|215|203|175|155|148|26|204|202|18|139|122|111|130|121|110|232|242|248|255|260|267|268|264|269|277|279|284|286|292|309|294|295|301|302|318|325|342|351|375|385|388|390|371|389|405|406|411|415|417|420|421|425|434|443|444|442|457|460|461|485|494|476|477|495|497|502|505|506|503|514|515|555|562|563|573|600|601|602|597|618|627|642|659|662|663|684|695|697|699|705|724|735|733|749|750|763|767|770|782|818|876|919|923|972|980|981|986|990|991|1048|1052|1122|1158|1178|1184|1206|1219|1234|1241|1267|1399|1414|1425|1440|1456|1507|1536|1755|1764|1775|1801|1803|1907|1986|1990|1997|2001|2180|2182|2416|2501|2508|2509|2547|2558|2598|2657|2725|2852|3447,937899|286087|883797|260481|323448|544858|214|223|132|279|297|399|9781,No hay|Brocha y aspiradora.|no hay|No hay.|Grasa. WD40. Paños de limpieza.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SN,SN|s/n|sn|S/N,65,952|96|48|166|162|142|163|141|131|128|132|125|112|229|228|335|340|402|404|410|414|467|530|543|560|571|579|585|586|589|580|581|608|620|706|852|854|862|866|870|889|906|911|929|967|1020|1193|1222|1224|1321|1645|1929|1954|2232|2234|2244|2254|2273|2319|2335|2349|2377|2423|2449|3004,536165|225444|720791|737478|823784|281588|177629,NA|no hay|N/C|NC|nc,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,Valor placeholder (sin numero/serie/N-A). Confirmar que no requiere match real.,,,
NC,NC|nc|N/C|n/c,63,226|190|189|223|233|240|239|246|256|247|273|274|271|275|289|290|308|337|328|454|459|466|612|665|701|703|707|711|718|728|746|800|811|815|822|837|845|867|910|935|936|1007|1008|1084|1095|1096|1118|1182|1253|1254|1391|1495|1540|1725|2047|2067|2068|2105|2106|2114|2198|2660|2661,493|496,"NC|sin repuesto|Sin repuesto|nc|Alcohol toallas de.limpieza espuma de.limpieza, buzos de limpieza.",PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,Valor placeholder (sin numero/serie/N-A). Confirmar que no requiere match real.,,,
1538489,1538489,22,252|287|456|628|827|1104|1169|1238|1338|1363|1473|1562|1613|1669|1675|1683|1698|1910|1968|1989|2675|3107,508853|318046|524622|777777|596438|985059|412,"Diaphragms PCB|PCB diaphragm drive|PCB assy, DLG and Diaphragm drive|DLg PCB Drive|PCB ASSY, DLG AND DIAPHRAGM DRIVE",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1018265,1018265,20,644|974|1562|1592|1617|1671|1855|1928|2096|2123|2251|2374|2453|2477|2570|2588|2698|3021|3076|3373,777777|9999|386771|534360|184|299|9145,Fru Z MTR brush Set|FRU Z Motor Brush SET (electrocraft)|FRU Z motor brush set|Fru Z mtr brush set|Fru Z motor brush set ( electrocraft) cant=1,MATCHED,REF_LIKE,Revisar manualmente.,,,
NO,no.|No|NO|no,17,129|380|894|1183|1998|2315|2324|2744|2768|2901|3130|3291|3347|3379|3506|3567|3656,8792|9542|9429|9948,no se utilizaron.|No|no|No.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1527044,1527044,15,796|1214|1281|1528|1613|1669|1968|1982|1991|2092|2162|2467|2518|2675|2963,564323|777777|596438|468508|168|227|412|9063,"programmed PCB assy, Router|programmed pcb assy, router|Programmed PCB assy, router|Programmed PCB Assy ROUTER|programmed pcb assy, router ",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1006737,1006737,13,39|821|841|1127|1191|1215|1293|1336|1545|1824|1825|1972|2017,000000000|508853|777777|158251|9999|526627,PCB SIB|SIB PCB|PCB Assy Sib|pcb sib|PCB ASSY SIB,MATCHED,REF_LIKE,Revisar manualmente.,,,
