used_part_id,fieldbeat_task_id,zendesk_ticket_id,part_name,raw_part_identifier,normalized_part_identifier,dolibarr_product_id,dolibarr_ref,dolibarr_barcode,dolibarr_label,match_method,match_confidence,match_status,needs_manual_review,candidate_dolibarr_product_ids
953|2|1|451333326854,953,,"Mout, mirror (mylar)",451333326854,451333326854,,,,,NONE,0,NO_MATCH,true,
953|2|5|155579,953,,Lens Ricoh FL-Bc1218A,155579,155579,,,,,NONE,0,NO_MATCH,true,
"954|2|0|motores: 451333264430
tornillo: 8113024 2521_01",954,,03 motores y 01 tornillo.,"motores: 451333264430
tornillo: 8113024 2521_01",MOTORES451333264430TORNILLO8113024252101,,,,,NONE,0,NO_MATCH,true,
955|2|0|1347987,955,,pcb motor drive,1347987,1347987,,,,,NONE,0,NO_MATCH,true,
94|2|0|1018268,94,,"FRU MOTOR BRUSH SET (ELECTROCRAFT).
",1018268,1018268,,,,,NONE,0,NO_MATCH,true,
4|2|0|cafe 2335689,4,,Escobas huaipe,cafe 2335689,CAFE2335689,,,,,NONE,0,NO_MATCH,true,
32|3|0|647907-B21,32,,HP 4GB 2RX8 PC3L-10600E MEMORY MODULE (1X4GB),647907-B21,647907B21,,,,,NONE,0,NO_MATCH,true,
32|2|0|C7975A,32,,HPE Ultrium LTO-5 3TB RW Data Tape,C7975A,C7975A,,,,,NONE,0,NO_MATCH,true,
7|2|0|100000001,7,,barros luco,100000001,100000001,,,,,NONE,0,NO_MATCH,true,
68|2|0|T21321900352,68,,fusible de retardo 10 amp.,T21321900352,T21321900352,,,,,NONE,0,NO_MATCH,true,
66|2|0|1526647,66,,DLG PCB,1526647,1526647,,,,,NONE,0,NO_MATCH,true,
"222|2|0|Relay sin numero.

Magnetron MG5193",222,,"Relay de 24 Vdc.

Magnetron e2V Teledyne  Número serie 18351056C","Relay sin numero.

Magnetron MG5193",RELAYSINNUMEROMAGNETRONMG5193,,,,,NONE,0,NO_MATCH,true,
21|2|0|no hsy,21,,no hsy,no hsy,NOHSY,,,,,NONE,0,NO_MATCH,true,
184|2|0|4515 330 48000,184,,GUN ASSY,4515 330 48000,451533048000,,,,,NONE,0,NO_MATCH,true,
182|2|0|4513 331 17858,182,,FRU ISO ROTATION,4513 331 17858,451333117858,,,,,NONE,0,NO_MATCH,true,
177|2|0|S/N 91951712,177,,Thales TH 7195 B,S/N 91951712,SN91951712,,,,,NONE,0,NO_MATCH,true,
17|3|0|1000095641/7,17,,Service Slitless Flight,1000095641/7,10000956417,,,,,NONE,0,NO_MATCH,true,
15|2|0|2456,15,,hhhh,2456,2456,,,,,NONE,0,NO_MATCH,true,
218|2|0|1501062,218,,Pcb logical control unit,1501062,1501062,,,,,NONE,0,NO_MATCH,true,
212|5|0|45133904974,212,,PCB2 Thumbwheel Table User Interface Side A,45133904974,45133904974,,,,,NONE,0,NO_MATCH,true,
192|7|0|160406,192,,Tarjeta Electrónica Generadora de Pulsos PPG,160406,160406,,,,,NONE,0,NO_MATCH,true,
"169|2|0|1509981

Numero Serie 150998117084.",169,,Gun Filament Power Supply.,"1509981

Numero Serie 150998117084.",1509981NUMEROSERIE150998117084,,,,,NONE,0,NO_MATCH,true,
167|2|0|CX1154L,167,,Válvula Electrónica Tiratrón marca Elekta Nro de Serie 38884 (nueva),CX1154L,CX1154L,,,,,NONE,0,NO_MATCH,true,
145|2|0|1509981. ISS 02.   S/N 150998117091,145,,Gun Filament Power Supply,1509981. ISS 02.   S/N 150998117091,1509981ISS02SN150998117091,,,,,NONE,0,NO_MATCH,true,
120|2|0|modelo 5295001R001,120,,Fuente de Bonbas de Vacio,modelo 5295001R001,MODELO5295001R001,,,,,NONE,0,NO_MATCH,true,
119|2|0|Transistores C3907,119,,"Fusible 2Amp. 250V.

4 transistores de potencia. ",Transistores C3907,TRANSISTORESC3907,,,,,NONE,0,NO_MATCH,true,
108|2|0|1500954,108,,Tarjeta Controladora de Voltaje,1500954,1500954,,,,,NONE,0,NO_MATCH,true,
12|2|0|HN-M101MBB/Z4,12,,HDD Samsung 1TB,HN-M101MBB/Z4,HNM101MBBZ4,,,,,NONE,0,NO_MATCH,true,
101|2|0|Varta 3.6 vdc 150mAh,101,,Bateria LCD Dose,Varta 3.6 vdc 150mAh,VARTA36VDC150MAH,,,,,NONE,0,NO_MATCH,true,
254|2|0|12P754WZ058,254,,Valvula motora circuito interno de agua,12P754WZ058,12P754WZ058,,,,,NONE,0,NO_MATCH,true,
250|2|0|13289,250,,Ampolleta Halogena 13.8v 50W,13289,13289,,,,,NONE,0,NO_MATCH,true,
252|6|0|1538489,252,,Diaphragms PCB,1538489,1538489,,,,,NONE,0,NO_MATCH,true,
287|3|0|1538489,287,,PCB diaphragm drive,1538489,1538489,,,,,NONE,0,NO_MATCH,true,
293|2|0|5295001R001,293,,Ipcu 2 ch  positive,5295001R001,5295001R001,,,,,NONE,0,NO_MATCH,true,
313|3|0|1516940,313,,2 x Leaf Motor Drive Module PCB,1516940,1516940,,,,,NONE,0,NO_MATCH,true,
320|2|0|45133308710,320,,Fuente de Poder,45133308710,45133308710,,,,,NONE,0,NO_MATCH,true,
311|2|0|101674,311,,"2 Nr. Kit spares, DLG Brake. ",101674,101674,,,,,NONE,0,NO_MATCH,true,
332|2|0|1015459,332,,Tarjeta electrónica Linac Interface Board (LIB),1015459,1015459,,,,,NONE,0,NO_MATCH,true,
339|2|0|153848,339,,"PCB ASSY, DLG AND DIAPHRAGM DRIVE",153848,153848,,,,,NONE,0,NO_MATCH,true,
360|2|0|55.32.9.024.0040.,360,,Relay Finder 24 Vdc. (proporcionado por clinica),55.32.9.024.0040.,553290240040,,,,,NONE,0,NO_MATCH,true,
381|2|0|THK AFB-LF+70,381,,Grasa de propósito general.,THK AFB-LF+70,THKAFBLF70,,,,,NONE,0,NO_MATCH,true,
384|2|0|1500954,384,,"PCB controladora de Telemetro "" VOLTAGE REGULATOR PCB ASSY""",1500954,1500954,,,,,NONE,0,NO_MATCH,true,
393|2|0|RG8U,393,,Cable coaxial,RG8U,RG8U,,,,,NONE,0,NO_MATCH,true,
407|2|0|ZN11E9RZ,407,,Disco Duro Seagates 1TB Barracuda,ZN11E9RZ,ZN11E9RZ,,,,,NONE,0,NO_MATCH,true,
418|2|0|S/S,418,,Halogen Optic Lamp 12V-75W,S/S,SS,,,,,NONE,0,NO_MATCH,true,
419|2|0|A3004-10.   N/S S1522 PRP,419,,PCB Filament Drive.,A3004-10.   N/S S1522 PRP,A300410NSS1522PRP,,,,,NONE,0,NO_MATCH,true,
433|2|0|32V10A,433,,Fusible retardo 10A,32V10A,32V10A,,,,,NONE,0,NO_MATCH,true,
