Timestamp,Estado,ID Tarea Fieldbeat,Cliente,Tipo de Tarea,SKU Repuesto,Cantidad Descontada,ID Bodega Usada,ID Movimiento Dolibarr,Mensaje de Error
3/06/2026 12:30:00,Éxito (Con Repuestos),3731,RADIO ONCOLOGÍA DEL SUR,CORRECTIVA NO PROGRAMADA,45133904594,1,Pañol E&G,5461,
3/06/2026 2:40:00,Éxito (Sin Repuestos),3730,CLINICA ALEMANA DE SANTIAGO,CORRECTIVA NO PROGRAMADA,,,,,
2/06/2026 11:00:00,Éxito (Con Repuestos),3732,RADIO ONCOLOGÍA DEL SUR,CORRECTIVA NO PROGRAMADA,1534958,2,Pañol E&G,5460,
2/06/2026 1:55:00,Éxito (Con Repuestos),3729,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA PROGRAMADA,1565835,2,Pañol E&G,5459,
1/06/2026 14:30:00,ERROR,3727,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA NO PROGRAMADA,1541746,1,,,"Bodega ""undefined"" no mapeada."
1/06/2026 14:30:00,Éxito (Sin Repuestos),3727,HOSPITAL CARLOS VAN BUREN (SSVSA),CORRECTIVA NO PROGRAMADA,,,,,
1/06/2026 13:10:00,Éxito (Sin Repuestos),3725,CLINICA ALEMANA DE SANTIAGO,CORRECTIVA PROGRAMADA,,,,,
1/06/2026 12:48:00,Éxito (Con Repuestos),3726,UC CHRISTUS - CECA,CORRECTIVA NO PROGRAMADA,1516727,1,Pañol E&G,5458,
29/05/2026 20:30:00,ERROR,3723,UC CHRISTUS - SCA,CORRECTIVA NO PROGRAMADA,1017632,1,Pañol E&G,,API Error 404
29/05/2026 20:30:00,Éxito (Sin Repuestos),3723,UC CHRISTUS - SCA,CORRECTIVA NO PROGRAMADA,,,,,
29/05/2026 9:30:00,Éxito (Con Repuestos),3721,UC CHRISTUS - SCA,CORRECTIVA NO PROGRAMADA,1531145,1,Pañol E&G,5456,
29/05/2026 9:00:00,ERROR,3733,RADIO ONCOLOGÍA DEL SUR,CORRECTIVA PROGRAMADA,1541718,1,Otros (Comente),,"Bodega ""Otros (Comente)"" no mapeada."
29/05/2026 9:00:00,Éxito (Sin Repuestos),3733,RADIO ONCOLOGÍA DEL SUR,CORRECTIVA PROGRAMADA,,,,,
29/05/2026 0:30:00,Éxito (Sin Repuestos),3724,CLINICA ALEMANA DE SANTIAGO,REQUERIMIENTO DEL CLIENTE,,,,,
28/05/2026 21:30:00,Éxito (Con Repuestos),3720,Instituto Nacional del Cáncer (INC),CORRECTIVA PROGRAMADA,45133318990,1,Pañol E&G,5455,
27/05/2026 13:13:00,Éxito (Sin Repuestos),3719,CLINICA ALEMANA DE SANTIAGO,REQUERIMIENTO DEL CLIENTE,,,,,
27/05/2026 11:15:00,Éxito (Sin Repuestos),3717,UC CHRISTUS - CECA,CORRECTIVA NO PROGRAMADA,,,,,
27/05/2026 10:45:00,Éxito (Con Repuestos),3716,UC CHRISTUS - CECA,CORRECTIVA NO PROGRAMADA,1516727,1,Pañol E&G,5454,
27/05/2026 1:53:00,Éxito (Sin Repuestos),3718,Instituto Nacional del Cáncer (INC),CORRECTIVA NO PROGRAMADA,,,,,
26/05/2026 13:20:00,Éxito (Sin Repuestos),3715,CLÍNICA SANATORIO ALEMÁN (ONCORAD),CORRECTIVA NO PROGRAMADA,,,,,
25/05/2026 20:30:00,Éxito (Sin Repuestos),3714,Instituto Nacional del Cáncer (INC),CORRECTIVA NO PROGRAMADA,,,,,
25/05/2026 12:45:00,Éxito (Sin Repuestos),3713,RADIO ONCOLOGÍA DEL SUR,CORRECTIVA NO PROGRAMADA,,,,,
25/05/2026 11:45:00,Éxito (Sin Repuestos),3712,UC CHRISTUS - CECA,CORRECTIVA NO PROGRAMADA,,,,,
25/05/2026 11:26:00,Éxito (Sin Repuestos),3711,Instituto Nacional del Cáncer (INC),CORRECTIVA NO PROGRAMADA,,,,,
20/05/2026 12:50:00,Éxito (Sin Repuestos),3710,UC CHRISTUS - SCA,CORRECTIVA PROGRAMADA,,,,,
19/05/2026 22:30:00,ERROR,3709,Instituto Nacional del Cáncer (INC),CORRECTIVA NO PROGRAMADA,1567819,1,Pañol E&G,,API Error 404
19/05/2026 22:30:00,Éxito (Sin Repuestos),3709,Instituto Nacional del Cáncer (INC),CORRECTIVA NO PROGRAMADA,,,,,
19/05/2026 22:00:00,Éxito (Sin Repuestos),3708,UC CHRISTUS - SCA,CORRECTIVA PROGRAMADA,,,,,
18/05/2026 20:30:00,Éxito (Sin Repuestos),3707,CLINICA ALEMANA DE SANTIAGO,CORRECTIVA NO PROGRAMADA,,,,,
